id,title,context,question,answers,gold_answer,context_kz,question_kz,gold_answer_kz,raw_translation,pred_translate_en
571cd3b55efbb31900334e04,Oxygen,"Hyperbaric (high-pressure) medicine uses special oxygen chambers to increase the partial pressure of O
2 around the patient and, when needed, the medical staff. Carbon monoxide poisoning, gas gangrene, and decompression sickness (the 'bends') are sometimes treated using these devices. Increased O
2 concentration in the lungs helps to displace carbon monoxide from the heme group of hemoglobin. Oxygen gas is poisonous to the anaerobic bacteria that cause gas gangrene, so increasing its partial pressure helps kill them. Decompression sickness occurs in divers who decompress too quickly after a dive, resulting in bubbles of inert gas, mostly nitrogen and helium, forming in their blood. Increasing the pressure of O
2 as soon as possible is part of the treatment.",What does increased oxygen concentrations in the patient's lungs displace?,"{'text': ['carbon monoxide', 'carbon monoxide', 'carbon monoxide', 'carbon monoxide', 'carbon monoxide'], 'answer_start': [345, 345, 345, 345, 345]}",carbon monoxide,"Гипербарикалық (жоғары қысымды) медицина арнайы оттегі камераларын қолданып, науқастың айналасындағы O2-нің ішінара қысымын арттырады және қажет болған жағдайда медициналық қызметкерлерге де қолданылады. Көміртек тотығымен улану, газ гангренасы және декомпрессиялық ауру (бендс) кейде осы құрылғыларды қолдану арқылы емделеді. Өкпедегі O2 концентрациясының артуы гемоглобиннің гем тобына көміртек тотығын ығыстыруға көмектеседі. Оттегі газы газ гангренасын тудыратын анаэробты бактерияларға улы болып табылады, сондықтан оның ішінара қысымын арттыру оларды өлтіруге көмектеседі. Декомпрессиялық ауру сүңгуірлерде сүңгуірден кейін тым тез декомпрессия жасағанда пайда болады, нәтижесінде олардың қанында инертті газдардың, негізінен азот пен гелийдің көпіршіктері пайда болады. O2 қысымын мүмкіндігінше тез арттыру емдеудің бір бөлігі болып табылады.",Науқастың өкпесіндегі оттегінің концентрациясының артуы нені ығыстырады?,көміртек тотығы,,көміртек тотығын
57097d63ed30961900e841fd,Sky_(United_Kingdom),"The agreements include fixed annual carriage fees of £30m for the channels with both channel suppliers able to secure additional capped payments if their channels meet certain performance-related targets. Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB. As part of the agreements, both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels.",Does the new deal include Video on demand and High Definition?,"{'text': ['no', 'no indication', 'no indication'], 'answer_start': [224, 224, 224]}",no,"Келісімдер арналар үшін жыл сайынғы 30 миллион фунт стерлингтік тұрақты тасымалдау төлемдерін қамтиды, ал екі арна жеткізушісі де олардың арналары белгілі бір өнімділікке байланысты мақсаттарға жетсе, қосымша шектелген төлемдерді қамтамасыз ете алады. Қазіргі уақытта жаңа келісімде бұрын BSkyB ұсынған Қосымша сұраныс бойынша бейне және Жоғары анықтамалық мазмұнның бар-жоғы туралы ешқандай белгі жоқ. Келісімдердің бір бөлігі ретінде BSkyB және Virgin Media өздерінің негізгі арналарының тасымалдануына қатысты бір-біріне қарсы Жоғарғы соттағы барлық іс жүргізуді тоқтатуға келісті.",Жаңа келісім сұраныс бойынша бейне және жоғары анықтамалықты қамтиды ма?,жоқ,"CONTEXT:
Келісімдер арналар үшін жыл сайынғы 30 миллион фунт стерлингтік тұрақты тасымалдау төлемдерін қамтиды, ал екі арна жеткізушісі де олардың арналары белгілі бір өнімділікке байланысты мақсаттарға жетсе, қосымша шектелген төлемдерді қамтамасыз ете алады. Қазіргі уақытта жаңа келісімде бұрын BSkyB ұсынған Қосымша сұраныс бойынша бейне және Жоғары анықтамалық мазмұнның бар-жоғы туралы ешқандай белгі жоқ. Келісімдердің бір бөлігі ретінде BSkyB және Virgin Media өздерінің негізгі арналарының тасымалдануына қатысты бір-біріне қарсы Жоғарғы соттағы барлық іс жүргізуді тоқтатуға келісті.

QUESTION:
Жаңа келісім сұраныс бойынша бейне және жоғары анықтамалықты қамтиды ма?

ANSWER:
жоқ",Жоқ.
572754cd5951b619008f8866,Genghis_Khan,"The invasions of Baghdad, Samarkand, Urgench, Kiev, Vladimir among others caused mass murders, such as when portions of southern Khuzestan were completely destroyed. His descendant Hulagu Khan destroyed much of Iran's northern part and sacked Baghdad although his forces were halted by the Mamluks of Egypt, but Hulagu's descendant Ghazan Khan would return to beat the Egyptian Mamluks right out of Levant, Palestine and even Gaza. According to the works of the Persian historian Rashid-al-Din Hamadani, the Mongols killed more than 70,000 people in Merv and more than 190,000 in Nishapur. In 1237 Batu Khan, a grandson of Genghis Khan, launched an invasion into Kievan Rus'. Over the course of three years, the Mongols destroyed and annihilated all of the major cities of Eastern Europe with the exceptions of Novgorod and Pskov.",In which year did Genghis Khan's grandson invade Kievan Rus'?,"{'text': ['1237', '1237', '1237'], 'answer_start': [593, 593, 593]}",1237,"Бағдат, Самарқанд, Үргеніш, Киев, Владимир сияқты қалалардың басып алынуы жаппай қырғындарға әкелді, мысалы, Хузестанның оңтүстік бөліктері толығымен жойылды. Оның ұрпағы Хулагу хан Иранның солтүстік бөлігін көптеп жойып, Бағдатты тонады, бірақ оның әскерлері Мысыр мәмлүктерімен тоқтатылды, алайда Хулагудың ұрпағы Ғазан хан Левант, Палестина және тіпті Газадан Мысыр мәмлүктерін жеңіп қайтарды. Парсы тарихшысы Рашид-ад-Дин Хамаданидің еңбектеріне сәйкес, моңғолдар Мервте 70,000-нан астам және Нишапурда 190,000-нан астам адамды өлтірген. 1237 жылы Шыңғыс ханның немересі Бату хан Киев Русіне басып кіруді бастады. Үш жыл ішінде моңғолдар Новгород пен Псковтан басқа Шығыс Еуропаның барлық ірі қалаларын жойып жіберді.",Шыңғыс ханның немересі Киев Русіне қай жылы басып кірді?,1237,,1237 жылы.
572855973acd2414000df929,University_of_Chicago,"The university runs a number of academic institutions and programs apart from its undergraduate and postgraduate schools. It operates the University of Chicago Laboratory Schools (a private day school for K-12 students and day care), the Sonia Shankman Orthogenic School (a residential treatment program for those with behavioral and emotional problems), and four public charter schools on the South Side of Chicago administered by the university's Urban Education Institute. In addition, the Hyde Park Day School, a school for students with learning disabilities, maintains a location on the University of Chicago campus. Since 1983, the University of Chicago has maintained the University of Chicago School Mathematics Project, a mathematics program used in urban primary and secondary schools. The university runs a program called the Council on Advanced Studies in the Social Sciences and Humanities, which administers interdisciplinary workshops to provide a forum for graduate students, faculty, and visiting scholars to present scholarly work in progress. The university also operates the University of Chicago Press, the largest university press in the United States.",Where is the Hyde Park Day School located?,"{'text': ['the University of Chicago campus', 'University of Chicago campus', 'the University of Chicago campus'], 'answer_start': [589, 593, 589]}",the University of Chicago campus,"Университет өзінің бакалавриат және магистратура мектептерінен бөлек, бірнеше академиялық мекемелер мен бағдарламаларды басқарады. Ол Чикаго университетінің зертханалық мектептерін (K-12 оқушылары мен күндізгі күтімге арналған жеке күндізгі мектеп), Соня Шанкман Ортогендік мектебін (мінез-құлық және эмоционалдық мәселелері бар адамдарға арналған тұрғын үй емдеу бағдарламасы) және Чикагоның оңтүстік жағында университеттің Қалалық білім беру институты басқаратын төрт мемлекеттік чартерлік мектепті басқарады. Сонымен қатар, оқу қабілеті бұзылған оқушыларға арналған Хайд Парк күндізгі мектебі Чикаго университетінің кампусында орналасқан. 1983 жылдан бастап Чикаго университеті қалалық бастауыш және орта мектептерде қолданылатын математика бағдарламасы - Чикаго университетінің мектеп математика жобасын қолдап келеді. Университет әлеуметтік ғылымдар мен гуманитарлық ғылымдар бойынша кеңейтілген зерттеулер кеңесі деп аталатын бағдарламаны басқарады, ол магистранттарға, оқытушыларға және шақырылған ғалымдарға ғылыми жұмыстарды ұсынуға арналған форумды қамтамасыз ететін пәнаралық семинарларды ұйымдастырады. Сондай-ақ, университет Америка Құрама Штаттарындағы ең үлкен университет баспасы - Чикаго университетінің баспасын басқарады.",Хайд Парк күндізгі мектебі қайда орналасқан?,Чикаго университетінің кампусында,,Чикаго университетінің кампусында.
57293e221d046914007791d5,Intergovernmental_Panel_on_Climate_Change,"The executive summary of the WG I Summary for Policymakers report says they are certain that emissions resulting from human activities are substantially increasing the atmospheric concentrations of the greenhouse gases, resulting on average in an additional warming of the Earth's surface. They calculate with confidence that CO2 has been responsible for over half the enhanced greenhouse effect. They predict that under a ""business as usual"" (BAU) scenario, global mean temperature will increase by about 0.3 °C per decade during the [21st] century. They judge that global mean surface air temperature has increased by 0.3 to 0.6 °C over the last 100 years, broadly consistent with prediction of climate models, but also of the same magnitude as natural climate variability. The unequivocal detection of the enhanced greenhouse effect is not likely for a decade or more.",What does the WG I Summary for Policymakers report say human activities are doing to greenhouse gases?,"{'text': ['substantially increasing the atmospheric concentrations', 'substantially increasing the atmospheric concentrations of the greenhouse gases', 'substantially increasing the atmospheric concentrations'], 'answer_start': [139, 139, 139]}",substantially increasing the atmospheric concentrations,"Саясаткерлерге арналған WG I қысқаша мазмұнының атқарушы қорытындысы адам әрекеттерінің нәтижесінде парниктік газдардың атмосфералық концентрациялары айтарлықтай артып, Жер бетінің орташа жылынуына әкеліп соғатынына сенімді екенін айтады. Олар CO2-нің күшейтілген парниктік әсердің жартысынан астамына жауапты екенін сенімді түрде есептейді. Олар ""әдеттегі бизнес"" (BAU) сценарийі бойынша 21-ші ғасырда ғаламдық орташа температура онжылдықта шамамен 0,3 °C-қа артады деп болжайды. Олар соңғы 100 жылда ғаламдық орташа жер беті ауасының температурасы 0,3-тен 0,6 °C-қа дейін артқанын, бұл климаттық модельдердің болжамдарымен кеңінен сәйкес келетінін, бірақ табиғи климаттық өзгергіштікпен бірдей шамада екенін бағалайды. Күшейтілген парниктік әсерді анықтау он жыл немесе одан да көп уақытқа созылуы мүмкін емес.",Саясаткерлерге арналған WG I қысқаша мазмұнының есебі адам әрекеттерінің парниктік газдарға не істеп жатқанын айтады?,атмосфералық концентрацияларды айтарлықтай арттыруда,,Парниктік газдардың атмосфералық концентрацияларын арттырады.
5729edd56aef051400155116,Amazon_rainforest,"The first European to travel the length of the Amazon River was Francisco de Orellana in 1542. The BBC's Unnatural Histories presents evidence that Orellana, rather than exaggerating his claims as previously thought, was correct in his observations that a complex civilization was flourishing along the Amazon in the 1540s. It is believed that the civilization was later devastated by the spread of diseases from Europe, such as smallpox. Since the 1970s, numerous geoglyphs have been discovered on deforested land dating between AD 0–1250, furthering claims about Pre-Columbian civilizations. Ondemar Dias is accredited with first discovering the geoglyphs in 1977 and Alceu Ranzi with furthering their discovery after flying over Acre. The BBC's Unnatural Histories presented evidence that the Amazon rainforest, rather than being a pristine wilderness, has been shaped by man for at least 11,000 years through practices such as forest gardening and terra preta.",For how many years was evidence shown that humans shaped the the Amazon?,"{'text': ['11,000 years', 'at least 11,000 years', 'at least 11,000 years'], 'answer_start': [892, 883, 883]}","11,000 years","Амазон өзенінің ұзындығын алғаш рет еуропалық Франсиско де Орельяна 1542 жылы саяхаттаған. BBC-дің ""Табиғаттан тыс тарихтар"" бағдарламасы Орельяна бұрын ойлағандай өз талаптарын асыра айтпағанын, 1540 жылдары Амазон бойында күрделі өркениет гүлденіп жатқанын дұрыс байқағанын дәлелдейтін деректерді ұсынады. Бұл өркениет кейіннен Еуропадан келген шешек сияқты аурулардың таралуынан жойылған деп есептеледі. 1970 жылдардан бастап, ормансыздандырылған жерлерде біздің заманымыздың 0–1250 жылдарына жататын көптеген геоглифтер табылып, Колумбқа дейінгі өркениеттер туралы талаптарды күшейтті. Ондемар Диас 1977 жылы геоглифтерді алғаш ашқанымен танымал, ал Алсеу Ранзи Акре үстінен ұшып өткеннен кейін олардың ашылуын жалғастырды. BBC-дің ""Табиғаттан тыс тарихтар"" бағдарламасы Амазон орманының таза табиғи аймақ болудан гөрі, орман бағбандығы және терра прета сияқты тәжірибелер арқылы кем дегенде 11,000 жыл бойы адам қолымен қалыптасқанын дәлелдейтін деректерді ұсынды.",Адамдардың Амазонды қалыптастырғаны туралы қанша жыл дәлелдер көрсетілді?,"11,000 жыл","CONTEXT:
Амазон өзенінің ұзындығын алғаш рет еуропалық Франсиско де Орельяна 1542 жылы саяхаттаған. BBC-дің ""Табиғаттан тыс тарихтар"" бағдарламасы Орельяна бұрын ойлағандай өз талаптарын асыра айтпағанын, 1540 жылдары Амазон бойында күрделі өркениет гүлденіп жатқанын дұрыс байқағанын дәлелдейтін деректерді ұсынады. Бұл өркениет кейіннен Еуропадан келген шешек сияқты аурулардың таралуынан жойылған деп есептеледі. 1970 жылдардан бастап, ормансыздандырылған жерлерде біздің заманымыздың 0–1250 жылдарына жататын көптеген геоглифтер табылып, Колумбқа дейінгі өркениеттер туралы талаптарды күшейтті. Ондемар Диас 1977 жылы геоглифтерді алғаш ашқанымен танымал, ал Алсеу Ранзи Акре үстінен ұшып өткеннен кейін олардың ашылуын жалғастырды. BBC-дің ""Табиғаттан тыс тарихтар"" бағдарламасы Амазон орманының таза табиғи аймақ болудан гөрі, орман бағбандығы және терра прета сияқты тәжірибелер арқылы кем дегенде 11,000 жыл бойы адам қолымен қалыптасқанын дәлелдейтін деректерді ұсынды.

QUESTION:
Адамдардың Амазонды қалыптастырғаны туралы қанша жыл дәлелдер көрсетілді?

ANSWER:
11,000 жыл","11,000 жыл."
56beb7953aeaaa14008c92ab,Super_Bowl_50,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.",Who lost to the Broncos in the divisional round?,"{'text': ['Pittsburgh Steelers', 'the Pittsburgh Steelers', 'Steelers'], 'answer_start': [25, 21, 36]}",Pittsburgh Steelers,"Бронкос Питтсбург Стилерсті дивизиондық раундта 23–16 есебімен жеңіп, ойынның соңғы үш минутында 11 ұпай жинады. Содан кейін олар АФК чемпионатында Супер Боул XLIX-тің қазіргі чемпионы Жаңа Англия Патриоттарын 20–18 есебімен жеңді, Жаңа Англияның 2 ұпайлық конверсия әрекетінде 17 секунд қалғанда пас ұстап алды. Маусым барысында Мэннингтің пас ұстап алу мәселелері болғанына қарамастан, ол плей-оффтағы екі ойында да пас ұстап алмады.",Дивизиондық раундта Бронкосқа кім жеңілді?,Питтсбург Стилерс,,Питтсбург Стилерс.
5725c604271a42140099d188,Apollo_program," Seamans' establishment of an ad-hoc committee headed by his special technical assistant Nicholas E. Golovin in July 1961, to recommend a launch vehicle to be used in the Apollo program, represented a turning point in NASA's mission mode decision. This committee recognized that the chosen mode was an important part of the launch vehicle choice, and recommended in favor of a hybrid EOR-LOR mode. Its consideration of LOR —as well as Houbolt's ceaseless work— played an important role in publicizing the workability of the approach. In late 1961 and early 1962, members of the Manned Spacecraft Center began to come around to support LOR, including the newly hired deputy director of the Office of Manned Space Flight, Joseph Shea, who became a champion of LOR. The engineers at Marshall Space Flight Center (MSFC) took longer to become convinced of its merits, but their conversion was announced by Wernher von Braun at a briefing in June 1962.",Who was hired to be the deputy director of the Office of Manned Space Flight?,"{'text': ['Joseph Shea', 'Joseph Shea,', 'Joseph Shea,', 'Joseph Shea', 'Joseph Shea', ', Joseph Shea'], 'answer_start': [720, 720, 720, 720, 720, 718]}",Joseph Shea,"1961 жылдың шілде айында Сименс өзінің арнайы техникалық көмекшісі Николас Е. Головин басқаратын уақытша комитет құрып, Аполлон бағдарламасында қолданылатын ұшыру көлігін ұсыну үшін, NASA-ның миссия режимін таңдауында бетбұрыс кезеңін көрсетті. Бұл комитет таңдалған режим ұшыру көлігін таңдаудың маңызды бөлігі екенін мойындап, гибридті EOR-LOR режимін қолдауды ұсынды. LOR-ды қарастыруы — сондай-ақ Хоуболттың тынымсыз еңбегі — тәсілдің жұмыс істейтінін жариялауда маңызды рөл атқарды. 1961 жылдың аяғы мен 1962 жылдың басында Адам басқарылатын ғарыш кемесі орталығының мүшелері, соның ішінде жаңа тағайындалған Адам басқарылатын ғарыштық ұшу кеңсесінің орынбасары Джозеф Ши, LOR-ды қолдауға кірісті, ол LOR-дың жақтаушысы болды. Маршалл ғарыштық ұшу орталығының (MSFC) инженерлері оның артықшылықтарына сенуге көбірек уақыт жұмсады, бірақ олардың өзгеруі 1962 жылдың маусым айында Вернер фон Браунның брифингінде жарияланды.",Адам басқарылатын ғарыштық ұшу кеңсесінің орынбасары болып кім тағайындалды?,Джозеф Ши,,Джозеф Ши.
56e769dc00c9c71400d770ec,Teacher,"Chris Keates, the general secretary of National Association of Schoolmasters Union of Women Teachers, said that teachers who have sex with pupils over the age of consent should not be placed on the sex offenders register and that prosecution for statutory rape ""is a real anomaly in the law that we are concerned about."" This has led to outrage from child protection and parental rights groups. Fears of being labelled a pedophile or hebephile has led to several men who enjoy teaching avoiding the profession. This has in some jurisdictions reportedly led to a shortage of male teachers.",What register did Chris Keates think that some teachers should not be placed on?,"{'text': ['the sex offenders register', 'sex offenders', 'sex offenders register'], 'answer_start': [194, 198, 198]}",the sex offenders register,"Ұлттық мектеп мұғалімдері одағының бас хатшысы Крис Китс, келісім жасындағы оқушылармен жыныстық қатынасқа түскен мұғалімдер жыныстық қылмыскерлер тізіміне енгізілмеуі керек екенін және заң бойынша ""бізді алаңдататын нақты аномалия"" болып табылатын заңды зорлау үшін қудалау керек екенін айтты. Бұл балаларды қорғау және ата-аналардың құқықтарын қорғау топтарының ашуын тудырды. Педофил немесе гебефил деп аталу қорқынышы оқытуды ұнататын бірнеше ер адамдардың мамандықтан аулақ болуына әкелді. Бұл кейбір юрисдикцияларда ер мұғалімдердің жетіспеушілігіне әкелгені хабарланды.",Крис Китс қандай тізімге кейбір мұғалімдер енгізілмеуі керек деп ойлады?,жыныстық қылмыскерлер тізімі,"CONTEXT:
Ұлттық мектеп мұғалімдері одағының бас хатшысы Крис Китс, келісім жасындағы оқушылармен жыныстық қатынасқа түскен мұғалімдер жыныстық қылмыскерлер тізіміне енгізілмеуі керек екенін және заң бойынша ""бізді алаңдататын нақты аномалия"" болып табылатын заңды зорлау үшін қудалау керек екенін айтты. Бұл балаларды қорғау және ата-аналардың құқықтарын қорғау топтарының ашуын тудырды. Педофил немесе гебефил деп аталу қорқынышы оқытуды ұнататын бірнеше ер адамдардың мамандықтан аулақ болуына әкелді. Бұл кейбір юрисдикцияларда ер мұғалімдердің жетіспеушілігіне әкелгені хабарланды.

QUESTION:
Крис Китс қандай тізімге кейбір мұғалімдер енгізілмеуі керек деп ойлады?

ANSWER:
жыныстық қылмыскерлер тізімі",жыныстық қылмыскерлер тізімі
56f8c5909b226e1400dd0f81,Martin_Luther,"His last sermon was delivered at Eisleben, his place of birth, on 15 February 1546, three days before his death. It was ""entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory,"" according to Léon Poliakov. James Mackinnon writes that it concluded with a ""fiery summons to drive the Jews bag and baggage from their midst, unless they desisted from their calumny and their usury and became Christians."" Luther said, ""we want to practice Christian love toward them and pray that they convert,"" but also that they are ""our public enemies ... and if they could kill us all, they would gladly do so. And so often they do.""",What did Luther say would allow the Jews to stay?,"{'text': ['that they convert', 'became Christians', 'convert'], 'answer_start': [528, 438, 538]}",that they convert,"Оның соңғы уағызы Эйслебенде, оның туған жерінде, 1546 жылы 15 ақпанда, оның қайтыс болуынан үш күн бұрын айтылды. Бұл ""барлық неміс аумағынан қуып шығу өте маңызды болған қыңыр еврейлерге толығымен арналды"", деп жазады Леон Поляков. Джеймс Макиннон оның ""олардың жала жабуынан және өсімқорлығынан бас тартып, христиан болмаған жағдайда, еврейлерді жүк-жабдықтарымен бірге қуып шығуға шақырған отты үндеумен"" аяқталғанын жазады. Лютер: ""біз оларға христиандық сүйіспеншілікті көрсетіп, олардың христиан болуын тілейміз"" деді, бірақ сонымен бірге олар ""біздің ашық жауларымыз ... және егер олар бізді өлтіре алса, олар мұны қуана жасар еді. Және олар мұны жиі жасайды"" деді.",Лютер еврейлердің қалуына не мүмкіндік береді деп айтты?,олардың христиан болуы,"CONTEXT:
Оның соңғы уағызы Эйслебенде, оның туған жерінде, 1546 жылы 15 ақпанда, оның қайтыс болуынан үш күн бұрын айтылды. Бұл ""барлық неміс аумағынан қуып шығу өте маңызды болған қыңыр еврейлерге толығымен арналды"", деп жазады Леон Поляков. Джеймс Макиннон оның ""олардың жала жабуынан және өсімқорлығынан бас тартып, христиан болмаған жағдайда, еврейлерді жүк-жабдықтарымен бірге қуып шығуға шақырған отты үндеумен"" аяқталғанын жазады. Лютер: ""біз оларға христиандық сүйіспеншілікті көрсетіп, олардың христиан болуын тілейміз"" деді, бірақ сонымен бірге олар ""біздің ашық жауларымыз ... және егер олар бізді өлтіре алса, олар мұны қуана жасар еді. Және олар мұны жиі жасайды"" деді.

QUESTION:
Лютер еврейлердің қалуына не мүмкіндік береді деп айтты?

ANSWER:
олардың христиан болуы",Христиан болу.
