text,label
"Fan v Fan: Manchester City-Tottenham Hotspur This weekend Manchester City entertain Spurs, and with last seasons seven-goal FA Cup epic between the two teams still fresh in the memory, entertain could be the operative word.",1
"Paris Tourists Search for Key to 'Da Vinci Code' (Reuters) Reuters - A funny thing happened on the way to the\Mona Lisa. Visitors to the Louvre museum in Paris, home of the\world's most famous painting, started quizzing tour guides\about Dan Brown's best-selling novel ""The Da Vinci Code.""",0
"Net firms: Don't tax VoIP The Spanish-American War is over and a ""temporary"" tax created to pay for it should not be extended to Internet phone calls, industry groups tell the IRS",3
"Dependent species risk extinction The global extinction crisis is worse than thought, because thousands of  quot;affiliated quot; species also at risk do not figure in calculations.",3
EDS Is Charter Member of Siebel BPO Alliance (NewsFactor) NewsFactor - Siebel Systems (Nasdaq: SEBL) has named EDS as the charter partner in Siebels' new business process outsourcing (BPO) global strategic-alliance program. The agreement expands the relationship between EDS and Siebel to provide a set of high-value managed products and service offerings targeted at the BPO and customer relationship management (CRM) marketplaces.,3
"Campbell 9 Pct. Profit  #39;Hmmm Hmmm Good #39; Campbell Soup Co. (CPB.N: Quote, Profile, Research) on Monday posted a better-than-expected 9 percent rise in profit, sending shares to a near three-year high, as heavy promotions and product improvements spurred soup sales.",2
"Forgoing stiff upper lip, Charles jousts with critics LONDON: In an unusual departure from the tradition of regal silence and the stiff upper lip, Prince Charles fought back Monday against accusations by a government minister who called his views on education  quot;old fashioned quot; and  quot;out of time.",0
"Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesday said said profit for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",2
"Salvaging Genesis Despite a seemingly calamitous crash to Earth last month by the Genesis spacecraft, large portions of the solar wind samples it had gathered in space appear to be salvageable, NASA scientists announced on Sept.",3
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,2
"NCAA Wrong To Close Book On Williams Top-ranked and defending co-national champion USC opens its season tonight against Virginia Tech. Tampa #39;s Mike Williams, the best football player not in the NFL - now officially the best college football player ",1
"General Mills goes whole grains NEW YORK (CNN/Money) - General Mills announced plans Thursday to start using healthier whole grains in all of its ready-to-eat cereals, including children #39;s cereals such as Trix, Cocoa Puffs and Lucky Charms.",2
"Big merger could box Qwest in Qwest Communications may not be immediately affected by a Sprint-Nextel merger, but its options could become more limited. At one time, Qwest and Sprint were viewed as possible merger partners.",2
"Ukrainian opposition makes gains KIEV -- The Ukrainian parliament voted yesterday to dismiss the government headed by the declared winner of a disputed presidential vote, Prime Minister Viktor Yanukovych, handing the opposition a victory in its campaign to overturn national election results.",0
United Apology over Website Abuse Manchester United have been forced to issue an embarrassing apology to Liverpool for an ill-advised attack on the Anfield outfit on its own website.,1
Davis Cup: Australia takes 2-0 lead in World Group playoff :Lleyton Hewitt gave Australia a 2-0 lead in its Davis Cup World Group playoff today with a record-setting 6-0 6-2 6-2 win over Mehdi Tahiri of Morocco on grass at Royal Kings Park.,1
Mortgage approvals drop sharply Figures showing falling mortgage approvals and rising repossessions suggest interest rate rises are being felt.  ,2
"GAME DAY RECAP Thursday, September 09 Bobby Madritsch pitched eight shutout innings and the Seattle Mariners ended a seven-game losing streak Thursday night with a 7-1 victory over Boston, dropping the Red Sox 3 games behind the first-place New York Yankees in the AL East.",1
"Clouds darken PeopleSoft conference SAN FRANCISCO -- PeopleSoft Inc. is trying to create a party-like atmosphere at its annual customer conference, but this week's gathering may feel more like a wake with rival Oracle Corp.'s \$7.7 billion takeover bid looming larger than ever.",2
"Giants Give Up Right to Void Bonds' Deal (AP) AP - Barry Bonds will have two more seasons to break Hank Aaron's career home run record with the San Francisco Giants, who decided Tuesday to drop their right to void the final year of his contract.",1
"Linux groups patch image flaw com December 8, 2004, 2:48 PM PT. Several flaws in common Linux code used to process graphics in the GNOME desktop environment could allow an attacker to compromise a computer that ",3
This year #39;s Panthers could learn a thing or two from Michael Vick CHARLOTTE - Michael Vick head-butting an opposing linebacker may not have been the smartest thing for a National Football League quarterback to do.,1
"Japanese Prime Minister Inspects Four Northern Islands under &lt;b&gt;...&lt;/b&gt; On September 2, Japanese Prime Minister Junichiro Koizumi (right) inspects four northern islands that are under territorial dispute with Russia.",0
Palestinians kill three Israeli soldiers Palestinian fighters sneaked onto an Israeli military post at a small Jewish settlement in the Gaza Strip early yesterday under cover of darkness and a thick morning fog ,0
Premiership: Charlton snatch win Dennis Rommedahl grabbed an injury-time winner for Charlton against a Crystal Palace side who will be very upset at a missed penalty.,1
"Baseball-Red Sox on Brink of World Series Victory  ST. LOUIS (Reuters) - Pedro Martinez pitched seven shutout  innings and Manny Ramirez hit a home run as the Boston Red Sox  beat the St. Louis Cardinals 4-1 Tuesday, moving to the brink  of their first World Series title since 1918.",1
"Prince Charles chastised for  quot;old fashioned quot; views A minister has launched a scathing attack on heir to the throne Prince Charles, accusing him of being  quot;very old fashioned quot; and out of touch in his views on teaching in schools.",0
"Old bones unearth new date for giant deer #39;s last stand A new investigation into extinctions caused by climate change has revealed that the giant deer, previously thought to have been wiped out by a cold spell 10,500 years ago, instead survived well into the modern era.",3
"Different time, different team With 3:25 left in the third quarter, the score was 33-0, and the 79,406 fans at Doak Campbell Stadium in Tallahassee, Fla., had long since stopped worrying about the outcome.",1
"Oracle Quarterly Net Income Rises 16 Pct Oracle Corp. (ORCL.O: Quote, Profile, Research) on Tuesday reported a 16 percent rise in quarterly net income as the world #39;s second largest software company benefited ",2
"Tributes flood in for Nicholson Former Tottenham captain Dave Mackay has led the tributes to legendary former Spurs manager Bill Nicholson, who passed away on Saturday aged 85.",1
EU chief battles to avert veto in crunch vote (AFP) AFP - The European Union braced for a knife-edge vote to decide the fate of its new executive arm with incoming EU chief Jose Manuel Barroso hardening his stance against rebel legislators.,0
"Gateway Updates 4Q, Year Guidance Gateway Inc. on Wednesday raised fourth-quarter earnings expectations as the personal computer maker freed up cash by selling preferred stock and outsourcing its warranty service plans.",2
"Computer Associates exec pleads not guilty Sanjay Kumar, the former chief executive of Computer Associates of Islandia, NY, pleaded innocent Thursday to charges he helped inflate financial results.",2
Sales boost for House of Fraser Shares in UK department store group House of Fraser have risen after the firm said it had cut half-year losses and was seeing solid sales growth.,2
"Selling Houston Warts and All, Especially Warts Descriptions of urban afflictions and images of giant mosquitoes and cockroaches to convey a sense of how Houston is nevertheless beloved by many residents.",2
Fannie Mae mess worries investors The fallout from allegations of serious accounting problems at Fannie Mae has rattled investors and could even bump up mortgage rates down the road.,2
Strongwoman hoists 100th gold for Chinese delegation Tang Gonghong lifted a world record to claim in Athens the 100th Olympic gold for China since its participation in 1984 Olympic Games on Saturday when ,1
"Microsoft Japan to give away over one million XP SP2 CDs TOKYO -- Microsoft Corp.'s Japanese arm will begin giving away more than a million CD-ROMs of the company's latest security update, Windows XP Service Pack 2 (SP2) from 27,500 locations during September and October, the company said on Thursday.",3
"Sharon cautious on reopening talks The Israeli prime minister, Ariel Sharon, yesterday said the death of his long-time rival, Yasser Arafat, could prove to be  quot;a historic turning point in the Middle East quot;.",0
Thais  #39;bomb #39; south with paper birds on Muslim south Around 50 Thai Air Force planes  quot;bombed quot; the largely Muslim south with paper birds on Sunday as a symbol of peace for the restive region where nearly 500 people have been killed since January.,0
"Deacons Defeat Friars Justin Gray leads Wake Forest with 21 points despite suffering a gashed face as the top-ranked Demon Deacons beat Providence, 79-67.",1
"Screensaver Strikes Back at Spammers New software allows recipients of spam to band together to target known websites behind the messages. The idea is to bombard the sites with messages, slowing them down and making them more expensive to run.",3
"Ramirez should be taking it to heart When it comes down to this, when it's worse than you could have possibly imagined, if you are any kind of ballplayer at all, you look within and ask yourself what you can do to make it better.",1
"Some People Not Eligible to Get in on Google IPO Google has billed its IPO as a way for everyday people to get in on the process, denying Wall Street the usual stranglehold it's had on IPOs. Public bidding, a minimum of just five shares, an open process with 28 underwriters - all this pointed to a new level of public participation. But this isn't the case.",3
"One assist, goal for hometown star STOCKHOLM, Sweden -- First, Peter Forsberg watched as his retired jersey No. 21 was lowered from the rafters at Kempehallen. Then, after getting a standing ovation from the sold-out crowd, the locked-out Colorado ",1
"Crunch Time for Biotech Companies Washington area biotech companies will face pivotal moments this year, finding out whether key products work before money dries up, fending off competition from bigger companies,  and, perhaps filing to go public.",2
"Report: Amount of fine-particle pollution drops significantly LOS ANGELES - Concentrations of one of the most dangerous air pollutants have declined in most of the country in the last five years, especially in Southern California and the Southeast, according to a report released by the US Environmental Protection ",3
"Maker of Twinkies goes into bankruptcy Onge. Interstate Bakeries Corp. has filed for bankruptcy, a casualty of rising costs and reduced demand for carbohydrate-rich breads and pastries, including its Wonder Bread and Hostess Twinkies.",2
"Court Won't Halt Arch Coal's Triton Bid (Reuters) Reuters - A U.S. appeals court ruled on Friday\that Arch Coal Inc. (ACI.N) may proceed with its bid to buy the\assets of rival Triton Coal Co. LLC, denying an emergency\request by the Federal Trade Commission to block the deal, a\spokesman for the agency said.",2
"Pakistan Ups Security, Shi #39;ites Mourn Bomb Victims Pakistan beefed up security Saturday as minority Shi #39;ite Muslims prepared to bury victims of a suicide bomb attack on a mosque in the eastern town of Sialkot that killed at least 30 people a day earlier.",0
"Callender wins job as starter Frustration set in quickly for Andre Callender. He had already waited a whole year, and now he had to wait another game to play college football.",1
SA 'mercenaries' plead not guilty Sixty-six men accused of plotting a coup in Equatorial Guinea deny breaching Zimbabwe's security laws.,0
Rejuvenated Real out to start scoring goals It has not gone unnoticed in Spain that the four goals Real Madrid put past Roma in the Champions League on Tuesday equalled their tally in five league matches after one of their worst starts to a domestic campaign for many years.,1
Blair: Time for Excuses on Africa Is Over (Reuters) Reuters - British Prime Minister\Tony Blair is to say Thursday that the time for excuses on\Africa is over as he chairs a meeting in Ethiopia he hopes will\turn the continent's problems into a global priority.,0
IBM launches top-end Power5 servers IBM has expanded the top end of its eServer range with three multiple-processor systems aimed at datacentres and large enterprise clients.,3
"Friday is all right for fighting Tonight will be a busy one on the local fight scene with two cards. At the Bayside Expo Center, Ray Oliveira will take on Hicklet Lau for the vacant International Boxing Union welterweight title. On the same card, heavyweight prospect Matt Godfrey (4-0, 2 KOs) of Providence will face Andrew Hutchinson.",1
"JPEG exploit could beat antivirus software Most IT Managers won #39;t question the importance of security, but this priority has been sliding between the third and fourth most important focus for companies.",3
"CEO Eisner to Step Down in Sept 2006 -WSJ  NEW YORK (Reuters) - Michael Eisner plans to step down as  Walt Disney Co.'s chief executive when his contract expires in  September 2006, the Wall Street Journal said on Friday.",2
Microsoft Changes Its Tune on Porting SP2 Fixes Microsoft Watch: Redmond had told developers privately earlier this year of plans to port some SP2 fixes to older versions of Windows.,3
"High court hears dispute over Michigan interstate wine sales The Supreme Court is considering whether Michigan and other states may bar people from buying wine directly from out-of-state suppliers, a big-money question that could lead to sweeping changes in how alcoholic beverages are regulated ",2
Putin Says Russia Could Be a Yukos Bidder President Vladimir V. Putin said on Friday that state-run companies might bid for assets of Yukos in any sale to collect back taxes.,2
"Bekele and Isinbayeva win Athletes of the Year titles in Monaco Monte-Carlo - Olympic champions Kenenisa Bekele of Ethiopia and Yelena Isinbayeva of Russia have been announced as the 2004 Athletes of the Year on stage tonight at the climax to the spectacular 2004 World Athletics Gala at the Grimaldi Forum, Monte-Carlo ",1
Oxford 18 Cambridge 11 Replacement winger Ross Lavery scored the decisive try just two minutes from time as Oxford finally justified the favourites tag they had carried into each of the last three matches.,1
BEA's new product chief regroups The first new face after a company shake-up says BEA products will use the advanced research left by departed technology gurus.,3
"US Says No Plans to Sign New Climate Change Pacts (Reuters) Reuters - The United States, considered an\environmental laggard by its critics, is unlikely to sign any\new pacts on climate change at a key environmental meeting this\month, a senior U.S. official said on Thursday.",3
The Sims 2; Demon Stone; The Number Devil Getting a life gets a lot more complicated in this sequel to the best-selling computer game in history.,3
Elements of Web Hosting Elements of Web Hosting\\When you first start out trying to get a site on the Internet everything seems so confusing. Obtuse acronyms flow freely through the 'Beginner Friendly' information sites and definitions can be hard to come across. The main reason for this is that the Internet and the process ...,3
Hezbollah plane flies over Israel Lebanon #39;s guerrilla organization Hezbollah announced Sunday it hd flown an unmanned reconnaissance plane over northern Israel for the first time.,0
"Swimming: Phelps Wins Gold, Pulls Out of Relay  ATHENS (Reuters) - Michael Phelps, who has won five gold  medals in the Olympic pool, said Friday he was pulling out of  Saturday's 4x100 meter medley relay final to give team mate Ian  Crocker the chance to swim.",1
"Service-Sector Revenues Rise in Q2 Revenues in key sectors of the US services industry grew in the second quarter, the government said on Monday in a new survey aimed at measuring growth in the giant tranche of the economy.",2
"Nike co-founder stepping down president effective December 28 after more than a year-long search. Knight, 66, who also will give up his title of president,. chairman, quot; Knight said in a statement on Thursday.",2
"This Just In - Sprint is Stupid \\Found this  via BoingBoing this morning:\\""The new Treo 650 is out today -- and as a long-time fan of the Treo, I've been\looking forward to it. I've asked in the past for ""one with everything"" -- a\phone with all the features I could want in one device, without\compromises. It looks like PalmOne delivered, with a 320x320 screen, removable\battery, upgraded OS, a better camera, and Bluetooth.""\\""Oops -- not quite! TreoCentral is reporting that the Sprint version of the\Treo 650 doesn't allow you to use Bluetooth for dial-up networking through\your computer. Apparently other carriers will, but not Sprint.""\\""You see, Sprint sells connection cards, which are PCCards that allow you to\dial up y ...\\",3
"Kiwi firms ditch Explorer for Firefox Aoraki Mt Cook Ski Planes and New Zealand Tourism Online are turning their backs on Microsoft #39;s Internet Explorer. Both companies are among the early adopters of Firefox, a free  quot;open source quot; Web browser.",3
"Google #39;s New PC Search Tool Poses Risks NEW YORK Oct. 18, 2004 - People who use public or workplace computers for e-mail, instant messaging and Web searching have a new privacy risk to worry about: Google #39;s free new tool that indexes a PC #39;s contents for quickly locating data.",2
"Youkilis, McCarty placed on 15-day disabled list BOSTON -- It was another busy day on the medical front for the Red Sox, as a series of roster moves were announced prior to Tuesday night #39;s game against the Blue Jays. ",1
"IndyCar champ Kanaan finishes second and every lap FORT WORTH, Texas Helio Castroneves had a great restart today with two laps to go after a lengthy caution. He held off IndyCar Series champion Tony Kanaan to win the season finale at Texas Motor Speedway.",1
"Business ; Fiat Talks Tough Ahead of Key GM Meeting  quot;There is a very good argument to say that the Italian car plants could benefit from the relocation of other GM businesses in Europe, quot; Marchionne was quoted as saying.",2
Indian state rolls out wireless broadband Government in South Indian state of Kerala sets up wireless kiosks as part of initiative to bridge digital divide.,3
"NASA delays flight of X-43A scramjet to attempt Mach 10 LOS ANGELES NASA will try again today to fly an unmanned hypersonic jet designed to reach a record speed of Mach Ten, or seven-thousand-miles-per-hour.",3
"Tigers celebrating after Beavers don #39;t get their kicks Freshman Alexis Serna is down on the field kneeling, pounding the Tiger Stadium turf. He wanted to hide. But couldn #39;t find a place.",1
"At Last, Success on the Road for Lions The Detroit Lions went three full seasons without winning an away game, setting an NFL record for road futility. They ended that ignominious streak Sunday in their first opportunity of the season, beating the Chicago Bears 20-16 at Soldier Field...",0
