id,title,context,question,answers,gold_answer,pred_en_basic
571cd3b55efbb31900334e04,Oxygen,"Hyperbaric (high-pressure) medicine uses special oxygen chambers to increase the partial pressure of O
2 around the patient and, when needed, the medical staff. Carbon monoxide poisoning, gas gangrene, and decompression sickness (the 'bends') are sometimes treated using these devices. Increased O
2 concentration in the lungs helps to displace carbon monoxide from the heme group of hemoglobin. Oxygen gas is poisonous to the anaerobic bacteria that cause gas gangrene, so increasing its partial pressure helps kill them. Decompression sickness occurs in divers who decompress too quickly after a dive, resulting in bubbles of inert gas, mostly nitrogen and helium, forming in their blood. Increasing the pressure of O
2 as soon as possible is part of the treatment.",What does increased oxygen concentrations in the patient's lungs displace?,"{'text': ['carbon monoxide', 'carbon monoxide', 'carbon monoxide', 'carbon monoxide', 'carbon monoxide'], 'answer_start': [345, 345, 345, 345, 345]}",carbon monoxide,carbon monoxide
57097d63ed30961900e841fd,Sky_(United_Kingdom),"The agreements include fixed annual carriage fees of £30m for the channels with both channel suppliers able to secure additional capped payments if their channels meet certain performance-related targets. Currently there is no indication as to whether the new deal includes the additional Video On Demand and High Definition content which had previously been offered by BSkyB. As part of the agreements, both BSkyB and Virgin Media agreed to terminate all High Court proceedings against each other relating to the carriage of their respective basic channels.",Does the new deal include Video on demand and High Definition?,"{'text': ['no', 'no indication', 'no indication'], 'answer_start': [224, 224, 224]}",no,no
572754cd5951b619008f8866,Genghis_Khan,"The invasions of Baghdad, Samarkand, Urgench, Kiev, Vladimir among others caused mass murders, such as when portions of southern Khuzestan were completely destroyed. His descendant Hulagu Khan destroyed much of Iran's northern part and sacked Baghdad although his forces were halted by the Mamluks of Egypt, but Hulagu's descendant Ghazan Khan would return to beat the Egyptian Mamluks right out of Levant, Palestine and even Gaza. According to the works of the Persian historian Rashid-al-Din Hamadani, the Mongols killed more than 70,000 people in Merv and more than 190,000 in Nishapur. In 1237 Batu Khan, a grandson of Genghis Khan, launched an invasion into Kievan Rus'. Over the course of three years, the Mongols destroyed and annihilated all of the major cities of Eastern Europe with the exceptions of Novgorod and Pskov.",In which year did Genghis Khan's grandson invade Kievan Rus'?,"{'text': ['1237', '1237', '1237'], 'answer_start': [593, 593, 593]}",1237,1237
572855973acd2414000df929,University_of_Chicago,"The university runs a number of academic institutions and programs apart from its undergraduate and postgraduate schools. It operates the University of Chicago Laboratory Schools (a private day school for K-12 students and day care), the Sonia Shankman Orthogenic School (a residential treatment program for those with behavioral and emotional problems), and four public charter schools on the South Side of Chicago administered by the university's Urban Education Institute. In addition, the Hyde Park Day School, a school for students with learning disabilities, maintains a location on the University of Chicago campus. Since 1983, the University of Chicago has maintained the University of Chicago School Mathematics Project, a mathematics program used in urban primary and secondary schools. The university runs a program called the Council on Advanced Studies in the Social Sciences and Humanities, which administers interdisciplinary workshops to provide a forum for graduate students, faculty, and visiting scholars to present scholarly work in progress. The university also operates the University of Chicago Press, the largest university press in the United States.",Where is the Hyde Park Day School located?,"{'text': ['the University of Chicago campus', 'University of Chicago campus', 'the University of Chicago campus'], 'answer_start': [589, 593, 589]}",the University of Chicago campus,On the University of Chicago campus.
57293e221d046914007791d5,Intergovernmental_Panel_on_Climate_Change,"The executive summary of the WG I Summary for Policymakers report says they are certain that emissions resulting from human activities are substantially increasing the atmospheric concentrations of the greenhouse gases, resulting on average in an additional warming of the Earth's surface. They calculate with confidence that CO2 has been responsible for over half the enhanced greenhouse effect. They predict that under a ""business as usual"" (BAU) scenario, global mean temperature will increase by about 0.3 °C per decade during the [21st] century. They judge that global mean surface air temperature has increased by 0.3 to 0.6 °C over the last 100 years, broadly consistent with prediction of climate models, but also of the same magnitude as natural climate variability. The unequivocal detection of the enhanced greenhouse effect is not likely for a decade or more.",What does the WG I Summary for Policymakers report say human activities are doing to greenhouse gases?,"{'text': ['substantially increasing the atmospheric concentrations', 'substantially increasing the atmospheric concentrations of the greenhouse gases', 'substantially increasing the atmospheric concentrations'], 'answer_start': [139, 139, 139]}",substantially increasing the atmospheric concentrations,substantially increasing the atmospheric concentrations
5729edd56aef051400155116,Amazon_rainforest,"The first European to travel the length of the Amazon River was Francisco de Orellana in 1542. The BBC's Unnatural Histories presents evidence that Orellana, rather than exaggerating his claims as previously thought, was correct in his observations that a complex civilization was flourishing along the Amazon in the 1540s. It is believed that the civilization was later devastated by the spread of diseases from Europe, such as smallpox. Since the 1970s, numerous geoglyphs have been discovered on deforested land dating between AD 0–1250, furthering claims about Pre-Columbian civilizations. Ondemar Dias is accredited with first discovering the geoglyphs in 1977 and Alceu Ranzi with furthering their discovery after flying over Acre. The BBC's Unnatural Histories presented evidence that the Amazon rainforest, rather than being a pristine wilderness, has been shaped by man for at least 11,000 years through practices such as forest gardening and terra preta.",For how many years was evidence shown that humans shaped the the Amazon?,"{'text': ['11,000 years', 'at least 11,000 years', 'at least 11,000 years'], 'answer_start': [892, 883, 883]}","11,000 years","11,000 years"
56beb7953aeaaa14008c92ab,Super_Bowl_50,"The Broncos defeated the Pittsburgh Steelers in the divisional round, 23–16, by scoring 11 points in the final three minutes of the game. They then beat the defending Super Bowl XLIX champion New England Patriots in the AFC Championship Game, 20–18, by intercepting a pass on New England's 2-point conversion attempt with 17 seconds left on the clock. Despite Manning's problems with interceptions during the season, he didn't throw any in their two playoff games.",Who lost to the Broncos in the divisional round?,"{'text': ['Pittsburgh Steelers', 'the Pittsburgh Steelers', 'Steelers'], 'answer_start': [25, 21, 36]}",Pittsburgh Steelers,Pittsburgh Steelers
5725c604271a42140099d188,Apollo_program," Seamans' establishment of an ad-hoc committee headed by his special technical assistant Nicholas E. Golovin in July 1961, to recommend a launch vehicle to be used in the Apollo program, represented a turning point in NASA's mission mode decision. This committee recognized that the chosen mode was an important part of the launch vehicle choice, and recommended in favor of a hybrid EOR-LOR mode. Its consideration of LOR —as well as Houbolt's ceaseless work— played an important role in publicizing the workability of the approach. In late 1961 and early 1962, members of the Manned Spacecraft Center began to come around to support LOR, including the newly hired deputy director of the Office of Manned Space Flight, Joseph Shea, who became a champion of LOR. The engineers at Marshall Space Flight Center (MSFC) took longer to become convinced of its merits, but their conversion was announced by Wernher von Braun at a briefing in June 1962.",Who was hired to be the deputy director of the Office of Manned Space Flight?,"{'text': ['Joseph Shea', 'Joseph Shea,', 'Joseph Shea,', 'Joseph Shea', 'Joseph Shea', ', Joseph Shea'], 'answer_start': [720, 720, 720, 720, 720, 718]}",Joseph Shea,Joseph Shea
56e769dc00c9c71400d770ec,Teacher,"Chris Keates, the general secretary of National Association of Schoolmasters Union of Women Teachers, said that teachers who have sex with pupils over the age of consent should not be placed on the sex offenders register and that prosecution for statutory rape ""is a real anomaly in the law that we are concerned about."" This has led to outrage from child protection and parental rights groups. Fears of being labelled a pedophile or hebephile has led to several men who enjoy teaching avoiding the profession. This has in some jurisdictions reportedly led to a shortage of male teachers.",What register did Chris Keates think that some teachers should not be placed on?,"{'text': ['the sex offenders register', 'sex offenders', 'sex offenders register'], 'answer_start': [194, 198, 198]}",the sex offenders register,sex offenders register
56f8c5909b226e1400dd0f81,Martin_Luther,"His last sermon was delivered at Eisleben, his place of birth, on 15 February 1546, three days before his death. It was ""entirely devoted to the obdurate Jews, whom it was a matter of great urgency to expel from all German territory,"" according to Léon Poliakov. James Mackinnon writes that it concluded with a ""fiery summons to drive the Jews bag and baggage from their midst, unless they desisted from their calumny and their usury and became Christians."" Luther said, ""we want to practice Christian love toward them and pray that they convert,"" but also that they are ""our public enemies ... and if they could kill us all, they would gladly do so. And so often they do.""",What did Luther say would allow the Jews to stay?,"{'text': ['that they convert', 'became Christians', 'convert'], 'answer_start': [528, 438, 538]}",that they convert,"""desisted from their calumny and their usury and became Christians"""
