review,sentiment,review_kz,predicted_kz
"One of the other reviewers has mentioned that after watching just 1 Oz episode you'll be hooked. They are right, as this is exactly what happened with me.<br /><br />The first thing that struck me about Oz was its brutality and unflinching scenes of violence, which set in right from the word GO. Trust me, this is not a show for the faint hearted or timid. This show pulls no punches with regards to drugs, sex or violence. Its is hardcore, in the classic use of the word.<br /><br />It is called OZ as that is the nickname given to the Oswald Maximum Security State Penitentary. It focuses mainly on Emerald City, an experimental section of the prison where all the cells have glass fronts and face inwards, so privacy is not high on the agenda. Em City is home to many..Aryans, Muslims, gangstas, Latinos, Christians, Italians, Irish and more....so scuffles, death stares, dodgy dealings and shady agreements are never far away.<br /><br />I would say the main appeal of the show is due to the fact that it goes where other shows wouldn't dare. Forget pretty pictures painted for mainstream audiences, forget charm, forget romance...OZ doesn't mess around. The first episode I ever saw struck me as so nasty it was surreal, I couldn't say I was ready for it, but as I watched more, I developed a taste for Oz, and got accustomed to the high levels of graphic violence. Not just violence, but injustice (crooked guards who'll be sold out for a nickel, inmates who'll kill on order and get away with it, well mannered, middle class inmates being turned into prison bitches due to their lack of street skills or prison experience) Watching Oz, you may become comfortable with what is uncomfortable viewing....thats if you can get in touch with your darker side.",positive,"Басқа бір сыншы айтқандай, Oz сериалынан тек бір ғана эпизод көрсеңіз, оған тәуелді боласыз. Олар дұрыс айтқан, өйткені дәл осылай менің де басымнан өтті. Oz-ға алғаш назар аударғаным – оның қатыгездігі мен зорлық-зомбылықтың ашық көріністері болды, олар алғашқы сәттен-ақ басталады. Сеніңіз, бұл шоу жүрегі нәзік немесе қорқақ адамдарға арналмаған. Бұл сериал есірткі, секс немесе зорлық-зомбылық туралы ештеңені жасырмайды. Ол классикалық мағынада қатал әрі шынайы. Ол OZ деп аталады, себебі бұл Освальд Максималды Қауіпсіздік Мемлекеттік Тұтқынханасының лақап аты. Негізінен Emerald City деп аталатын, тұтқынхананың эксперименттік бөліміне назар аударады, мұнда барлық камералардың алдыңғы жағы шыныдан жасалған және ішке қарай бағытталған, сондықтан құпиялылық төмен деңгейде. Em City-де көптеген ұлттар мен топтар тұрады: арийлер, мұсылмандар, гангстерлер, латиноамерикалықтар, христиандар, италиялықтар, ирландтар және тағы басқалар... сондықтан төбелестер, өлімге қараған көзқарастар, күмәнді мәмілелер мен жасырын келісімдер ешқашан алыс емес. Менің ойымша, сериалдың басты тартымдылығы – ол басқа шоулардың батылы жетпейтін жерге барады. Негізгі аудиторияға арналған әдемі суреттерді ұмыт, сұлулықты ұмыт, романтиканы ұмыт... OZ ештеңемен ойнамайды. Мен көрген алғашқы эпизод соншалықты қатыгез әрі шынайы болды, оны қабылдауға дайын емеспін деп ойладым, бірақ көбірек көрген сайын Oz-ға деген қызығушылығым артты, зорлық-зомбылықтың жоғары деңгейіне үйрендім. Тек зорлық емес, әділетсіздік те бар (жалақы үшін сатылатын бұрмалаушы күзетшілер, бұйрық бойынша өлтіретін және жазаланбайтын тұтқындар, көшедегі дағдылары мен түрмедегі тәжірибесі жоқ орта тап тұтқындарының түрмеде әлсіз жағдайға түсуі). Oz-ды көргенде, сіз ыңғайсыз көріністерге үйреніп кетуіңіз мүмкін... егер өзіңіздің қараңғы жағыңызбен байланыса алсаңыз.",positive
"A wonderful little production. <br /><br />The filming technique is very unassuming- very old-time-BBC fashion and gives a comforting, and sometimes discomforting, sense of realism to the entire piece. <br /><br />The actors are extremely well chosen- Michael Sheen not only ""has got all the polari"" but he has all the voices down pat too! You can truly see the seamless editing guided by the references to Williams' diary entries, not only is it well worth the watching but it is a terrificly written and performed piece. A masterful production about one of the great master's of comedy and his life. <br /><br />The realism really comes home with the little things: the fantasy of the guard which, rather than use the traditional 'dream' techniques remains solid then disappears. It plays on our knowledge and our senses, particularly with the scenes concerning Orton and Halliwell and the sets (particularly of their flat with Halliwell's murals decorating every surface) are terribly well done.",positive,"Тамаша шағын туынды. Камераның түсіру техникасы өте қарапайым – ескі BBC стилінде жасалған, бұл бүкіл шығармаға ыңғайлы әрі кейде ыңғайсыз шынайылық сезімін береді. Актерлер таңдау өте сәтті – Майкл Шин тек қана ""барлық полярлықты"" меңгеріп қана қоймай, барлық дауыстарды да мінсіз орындаған! Уильямстың күнделік жазбаларына сілтемелер арқылы жүргізілген үздіксіз монтажды шын мәнінде көруге болады, бұл фильмді көруге тұрарлық қана емес, керемет жазылған және орындалған шығарма. Комедияның ұлы шеберлерінің бірі және оның өмірі туралы шеберлікпен жасалған туынды. Шынайылық кішкентай нәрселерде айқын көрінеді: күзетшінің фантазиясы, дәстүрлі «армандау» әдістерін қолданбай, қатты қалып, кейін жоғалып кетеді. Бұл біздің біліміміз бен сезімдерімізге әсер етеді, әсіресе Ортон мен Холливеллге қатысты көріністерде және олардың пәтерінің декорациясында (әсіресе Холливеллдің әрбір бетін безендірген фрескаларында) өте жақсы жасалған.",positive
"I thought this was a wonderful way to spend time on a too hot summer weekend, sitting in the air conditioned theater and watching a light-hearted comedy. The plot is simplistic, but the dialogue is witty and the characters are likable (even the well bread suspected serial killer). While some may be disappointed when they realize this is not Match Point 2: Risk Addiction, I thought it was proof that Woody Allen is still fully in control of the style many of us have grown to love.<br /><br />This was the most I'd laughed at one of Woody's comedies in years (dare I say a decade?). While I've never been impressed with Scarlet Johanson, in this she managed to tone down her ""sexy"" image and jumped right into a average, but spirited young woman.<br /><br />This may not be the crown jewel of his career, but it was wittier than ""Devil Wears Prada"" and more interesting than ""Superman"" a great comedy to go see with friends.",positive,"Мен бұл фильмді тым ыстық жазғы демалыс күнінде уақыт өткізуге тамаша тәсіл деп ойладым, ауа бапталған кинотеатрда отырып, көңілді комедияны тамашалау. Оқиға қарапайым, бірақ диалогтар тапқыр және кейіпкерлер ұнамды (тіпті жақсы тәрбиеленген күдікті сериялық кісі өлтіруші де). Кейбіреулер бұл фильмнің «Match Point 2: Risk Addiction» емес екенін түсінгенде көңілі қалған шығар, бірақ мен үшін бұл Вуди Алленнің біз сүйіп қалған стилін әлі де толық бақылауда ұстап отырғанының дәлелі болды. Бұл мен Вуди Алленнің комедияларынан соңғы жылдары (және тіпті онжылдықта) ең қатты күлгенім болды. Скарлетт Йоханссонға ешқашан таңғалмағанмын, бірақ бұл фильмде ол өзінің «секси» бейнесін бәсеңдетіп, орташа, бірақ жігерлі жас әйел рөлін шебер сомдады. Бұл оның мансабының ең басты туындысы болмауы мүмкін, бірақ «Devil Wears Prada» фильмінен тапқыр әрі «Superman»-нан қызықтырақ, достармен бірге көруге тамаша комедия.",positive
"Basically there's a family where a little boy (Jake) thinks there's a zombie in his closet & his parents are fighting all the time.<br /><br />This movie is slower than a soap opera... and suddenly, Jake decides to become Rambo and kill the zombie.<br /><br />OK, first of all when you're going to make a film you must Decide if its a thriller or a drama! As a drama the movie is watchable. Parents are divorcing & arguing like in real life. And then we have Jake with his closet which totally ruins all the film! I expected to see a BOOGEYMAN similar movie, and instead i watched a drama with some meaningless thriller spots.<br /><br />3 out of 10 just for the well playing parents & descent dialogs. As for the shots with Jake: just ignore them.",negative,"Негізінде бұл фильмде бір отбасы бар, оның ішінде кішкентай бала (Джейк) киім шкафында зомби бар деп ойлайды, ал оның ата-анасы үнемі ұрысады. Бұл фильм мыльная операдан да баяу... және кенеттен, Джейк Рэмбоға айналып, зомбиді өлтіруге шешім қабылдайды. Жарайды, ең алдымен, фильм түсіретін болсаңыз, оның триллер ме, әлде драма ма екенін анықтауыңыз керек! Драма ретінде бұл фильмді көруге болады. Ата-аналар ажырасып, шын өмірдегідей дауласуда. Ал содан кейін Джейк пен оның шкафы бар, ол бүкіл фильмді бүлдіреді! Мен БУГИМЕН тәрізді фильмді көремін деп күттім, бірақ оның орнына мағынасыз триллер элементтері бар драманы көрдім. 10-нан 3 балл, тек ата-аналардың жақсы ойнауы мен орынды диалогтары үшін. Джейкпен түсірілген кадрларды мүлде елемеңіз.",negative
"Petter Mattei's ""Love in the Time of Money"" is a visually stunning film to watch. Mr. Mattei offers us a vivid portrait about human relations. This is a movie that seems to be telling us what money, power and success do to people in the different situations we encounter. <br /><br />This being a variation on the Arthur Schnitzler's play about the same theme, the director transfers the action to the present time New York where all these different characters meet and connect. Each one is connected in one way, or another to the next person, but no one seems to know the previous point of contact. Stylishly, the film has a sophisticated luxurious look. We are taken to see how these people live and the world they live in their own habitat.<br /><br />The only thing one gets out of all these souls in the picture is the different stages of loneliness each one inhabits. A big city is not exactly the best place in which human relations find sincere fulfillment, as one discerns is the case with most of the people we encounter.<br /><br />The acting is good under Mr. Mattei's direction. Steve Buscemi, Rosario Dawson, Carol Kane, Michael Imperioli, Adrian Grenier, and the rest of the talented cast, make these characters come alive.<br /><br />We wish Mr. Mattei good luck and await anxiously for his next work.",positive,"Петтер Маттейдің «Ақша заманындағы махаббат» фильмі көз тартарлық көріністерге толы. Мырза Маттей бізге адам қарым-қатынастарының айқын портретін ұсынады. Бұл фильм бізге ақша, билік пен табыстың адамдарға әртүрлі жағдайларда қалай әсер ететінін баяндайтын сияқты. Бұл фильм Артур Шницлердің сол тақырыптағы пьесасының бір нұсқасы болып табылады, режиссер оқиғаны қазіргі заманғы Нью-Йоркке ауыстырады, мұнда әртүрлі кейіпкерлер кездесіп, байланысады. Әрқайсысы бір-бірімен бір немесе басқа жолмен байланыста, бірақ ешкім алдыңғы байланыс нүктесін білмейді. Фильм стильді әрі сән-салтанатқа толы көрініске ие. Біз осы адамдардың қалай өмір сүретінін және өз ортасында қандай әлемде болатынын көреміз. Бұл фильмдегі барлық кейіпкерлерден алынатын жалғыз нәрсе – олардың әрқайсысының жалғыздықтың әртүрлі кезеңдерін бастан кешіретіні. Үлкен қала адам қарым-қатынасының шынайы қанағаттануына ең қолайлы орын емес, бұл көптеген кездескен адамдардың жағдайынан анық байқалады. Маттейдің режиссерлігімен актерлік ойын жақсы шыққан. Стив Бушеми, Розарио Доусон, Кэрол Кейн, Майкл Империоли, Адриан Гренье және басқа талантты актерлер бұл кейіпкерлерді жанды етіп көрсетеді. Біз мырза Маттейге сәттілік тілейміз және оның келесі туындысын асыға күтеміз.",positive
"Probably my all-time favorite movie, a story of selflessness, sacrifice and dedication to a noble cause, but it's not preachy or boring. It just never gets old, despite my having seen it some 15 or more times in the last 25 years. Paul Lukas' performance brings tears to my eyes, and Bette Davis, in one of her very few truly sympathetic roles, is a delight. The kids are, as grandma says, more like ""dressed-up midgets"" than children, but that only makes them more fun to watch. And the mother's slow awakening to what's happening in the world and under her own roof is believable and startling. If I had a dozen thumbs, they'd all be ""up"" for this movie.",positive,"Мүмкін менің өмірімдегі ең сүйікті фильмім, өз-өзіне құрбандық пен адалдық туралы әңгіме, бірақ ол уағыздайтын немесе жалықтыратын фильм емес. Соңғы 25 жылда шамамен 15 рет көргеніме қарамастан, ол ешқашан ескірмейді. Пол Лукасдың ойыны көзіме жас әкеледі, ал Бетт Дэвис, өзінің сирек кездесетін шынайы жанашыр рөлдерінің бірінде, керемет. Балалар, әжесінің айтуынша, балалардан гөрі «киінген ергежейлерге» ұқсайды, бірақ бұл оларды көруге одан да қызықты етеді. Ал ананың әлемде және өз үйінде болып жатқан жағдайларға баяу оянуы сенімді әрі таңқаларлық. Егер менде он екі бас барса, барлығы да осы фильмге «жоғары» болар еді.",positive
"I sure would like to see a resurrection of a up dated Seahunt series with the tech they have today it would bring back the kid excitement in me.I grew up on black and white TV and Seahunt with Gunsmoke were my hero's every week.You have my vote for a comeback of a new sea hunt.We need a change of pace in TV and this would work for a world of under water adventure.Oh by the way thank you for an outlet like this to view many viewpoints about TV and the many movies.So any ole way I believe I've got what I wanna say.Would be nice to read some more plus points about sea hunt.If my rhymes would be 10 lines would you let me submit,or leave me out to be in doubt and have me to quit,If this is so then I must go so lets do it.",positive,"Бүгінгі технологиямен жаңартылған Seahunt сериясының қайта жандануын көргім келеді, бұл менің ішімдегі бала кездің қызығушылығын оятар еді. Мен қара-ақ теледидар алдында өстім, және Seahunt пен Gunsmoke әр аптадағы қаһармандарым болды. Жаңа Seahunt-тың қайта оралуына менің дауысым бар. Теледидарда өзгеріс керек, ал бұл су асты шытырман оқиғалары әлемі үшін таптырмас нәрсе болар еді. Айтпақшы, теледидар мен көптеген фильмдер туралы әртүрлі пікірлерді көруге мүмкіндік бергеніңіз үшін рахмет. Қалай болғанда да, мен айтқым келгенді жеткіздім деп ойлаймын. Seahunt туралы тағы да жақсы жақтарын оқығаным жақсы болар еді. Егер менің өлең жолдарым 10 жол болса, оны жіберуге рұқсат бересіз бе, әлде күмәнмен қалдырып, тоқтауға мәжбүр етесіз бе? Егер солай болса, мен кетуге тиіспін, солай етейік.",positive
"This show was an amazing, fresh & innovative idea in the 70's when it first aired. The first 7 or 8 years were brilliant, but things dropped off after that. By 1990, the show was not really funny anymore, and it's continued its decline further to the complete waste of time it is today.<br /><br />It's truly disgraceful how far this show has fallen. The writing is painfully bad, the performances are almost as bad - if not for the mildly entertaining respite of the guest-hosts, this show probably wouldn't still be on the air. I find it so hard to believe that the same creator that hand-selected the original cast also chose the band of hacks that followed. How can one recognize such brilliance and then see fit to replace it with such mediocrity? I felt I must give 2 stars out of respect for the original cast that made this show such a huge success. As it is now, the show is just awful. I can't believe it's still on the air.",negative,"Бұл шоу 70-ші жылдары алғаш эфирге шыққанда керемет, жаңа әрі инновациялық идея болды. Алғашқы 7-8 жылы тамаша өтті, бірақ содан кейін сапасы төмендей бастады. 1990 жылға қарай шоу енді күлкілі болудан қалған жоқ, ал одан кейінгі уақыттағы құлдырауы оны бүгінгі күні толықтай уақытты босқа өткізуге айналдырды. Бұл шоу осыншалықты төмендегені шынымен ұят. Сценарийі ауырсынарлықтай нашар, орындаушылық та сол деңгейде – егер қонақ жүргізушілердің сәл көңіл көтеретін сәттері болмаса, бұл шоу әлі де эфирде болмас еді. Сол түпнұсқа құрамды қолмен таңдаған бірдей автор кейінгі нашар топты қалай таңдай алды дегенге сену қиын. Қалай бір адам осыншалықты кереметті танып, оны осындай орташа деңгеймен ауыстыруды дұрыс деп санауы мүмкін? Бұл шоуны үлкен жетістікке жеткізген түпнұсқа құрамға құрмет ретінде 2 жұлдыз беруге мәжбүр болдым. Қазіргі жағдайында шоу жай ғана қорқынышты. Оның әлі де эфирде болатынына сену қиын.",negative
"Encouraged by the positive comments about this film on here I was looking forward to watching this film. Bad mistake. I've seen 950+ films and this is truly one of the worst of them - it's awful in almost every way: editing, pacing, storyline, 'acting,' soundtrack (the film's only song - a lame country tune - is played no less than four times). The film looks cheap and nasty and is boring in the extreme. Rarely have I been so happy to see the end credits of a film. <br /><br />The only thing that prevents me giving this a 1-score is Harvey Keitel - while this is far from his best performance he at least seems to be making a bit of an effort. One for Keitel obsessives only.",negative,"Бұл фильм туралы мұнда айтылған оң пікірлерге сеніп, оны көруге асықтым. Үлкен қателік болды. Мен 950-ден астам фильм көрдім, және бұл олардың ең нашарларының бірі – барлық жағынан жаман: монтаж, ырғағы, сюжеті, «ойын», саундтрегі (фильмдегі жалғыз ән – әлсіз кантри әуені – төрт реттен кем емес ойнатылады). Фильм арзан әрі жағымсыз көрінеді және өте жалықтырады. Фильмнің соңғы титрлерін көруге соншалықты қуанышпен қарағаным сирек болды. Осы фильмге 1 балл қоймай тұруыма тек Харви Кейтелдің болуы себеп – бұл оның ең үздік рөлі болмаса да, кем дегенде аздап тырысқан сияқты көрінеді. Тек Кейтелді қатты ұнататындарға арналған шығар.",negative
"If you like original gut wrenching laughter you will like this movie. If you are young or old then you will love this movie, hell even my mom liked it.<br /><br />Great Camp!!!",positive,"Егер сіз ерекше, жүректі қытықтайтын күлкіді ұнатсаңыз, бұл фильм сізге ұнайды. Жас болсаңыз да, кәрі болсаңыз да, бұл фильмді жақсы көресіз, тіпті менің анам да ұнады. Тамаша лагерь!!!",positive
