id,question,options,answer_key,question_kz,options_kz,pred_native_kz,pred_en_kz
c0d75f9fbf30aa3a612f16edb20d6b8d,"The man took paperwork to other people to consult over it, where was he heading?","A) desk
B) meeting
C) office
D) table
E) work",B,"Ер адам құжаттарды басқа адамдармен кеңесу үшін алып кетті, ол қайда бара жатыр?","A) үстел
B) жиналыс
C) кеңсе
D) үстел
E) жұмыс",B,B
c21ec5b367f409a0288d616f626555ae,"If a person is working a lot, what are they likely trying to earn?","A) much money
B) own house
C) creativity
D) new car
E) caregiver",A,"Егер адам көп жұмыс істесе, олар нені табуға тырысады?","A) көп ақша
B) өз үйі
C) шығармашылық
D) жаңа көлік
E) қамқоршы",A,A
e6586bba9fe96d38792e6e6d4f2703dc,Where can you put a picture frame when it's not hung vertically?,"A) art show
B) wall
C) newspaper
D) car
E) table",E,Сурет жақтауын тік ілінбеген кезде қайда қоюға болады?,"A) өнер көрмесі
B) қабырға
C) газет
D) көлік
E) үстел",E,E
1e5a138b4c7d456c37abf4990b402bbe,"He had no issue committing perjury, he had a what that he would get away with it?","A) confidence
B) go to jail
C) telling lies
D) lying
E) manual",A,"Ол жалған куәлік беруге ешқандай қарсылық көрсетпеді, ол одан құтылып кететініне қандай сенімі болды?","A) сенімділік
B) түрмеге бару
C) өтірік айту
D) өтірік айту
E) нұсқаулық",A,A
2634468d21fa33a88cefe28a5d613f59,"The boat passenger was explaining his fear of blowfish, but the captain figured he meant piranhas since they were on a river in the what?","A) cuba
B) styx
C) atlantic ocean
D) france
E) jungle",E,"Қайық жолаушысы үрлемелі балықтан қорқатынын түсіндіріп жатты, бірақ капитан оның пиранияларды меңзегенін түсінді, өйткені олар қай өзенде болды?","A) куба
B) стиг
C) атлант мұхиты
D) франция
E) джунгли",E,E
ceafca2445b1b974d085a8cce38e8e44,What city will likely have many parking structures?,"A) chicago
B) big city
C) large city building
D) environment
E) college campus",A,Қай қалада автотұрақ құрылымдары көп болуы мүмкін?,"A) чикаго
B) үлкен қала
C) үлкен қала ғимараты
D) қоршаған орта
E) колледж кампусы",B,B
66bfb6e209c94e6be5b0d04b0c7e2064,Where could you find only a few office?,"A) skyscraper
B) new york
C) school building
D) city
E) work",C,Сіз бірнеше кеңсені қайдан таба аласыз?,"A) зәулім ғимарат
B) Нью-Йорк
C) мектеп ғимараты
D) қала
E) жұмыс",A,A
5ef6cdb85468df482e3aa6fa339d6e41,Where can you find a restaurant's phone number?,"A) yellow pages
B) town
C) business sector
D) town
E) at hotel",A,Мейрамхананың телефон нөмірін қайдан табуға болады?,"A) сары беттер
B) қала
C) бизнес секторы
D) қала
E) қонақ үйде",A,A
eee8cb7a0d806a62d2de24831f82e3e1,"The inspector was agreeing with the factory protocols, what was the status of the factory?","A) compliance
B) eligible
C) contract
D) harmony
E) friendship",A,"Инспектор зауыттың хаттамаларымен келісіп отырды, зауыттың жағдайы қандай болды?","A) сәйкестік
B) жарамды
C) келісімшарт
D) үйлесім
E) достық",A,A
54231f875bb7fe4d3e4afb6eae64387c,What part of plants is pretty?,"A) dirt
B) no neurons in
C) millions of cells
D) flowers on
E) roots",D,Өсімдіктердің қай бөлігі әдемі?,"A) топырақ
B) нейрондар жоқ
C) миллиондаған жасушалар
D) гүлдер
E) тамырлар",D,D
eee9476bf29498b7d74b043afe316fc6,Where do apples form on an apple tree?,"A) south africa
B) sunshine
C) new york
D) bloom
E) trunk",D,Алма ағашында алмалар қай жерде пайда болады?,"A) оңтүстік африка
B) күн сәулесі
C) нью-йорк
D) гүлдеу
E) діңгек",D,D
