text,label
"Bangladesh paralysed by strikes Opposition activists have brought many towns and cities in Bangladesh to a halt, the day after 18 people died in explosions at a political rally.",0
Desiring Stability Redskins coach Joe Gibbs expects few major personnel changes in the offseason and wants to instill a culture of stability in Washington.,1
"Will Putin #39;s Power Play Make Russia Safer? Outwardly, Russia has not changed since the barrage of terrorist attacks that culminated in the school massacre in Beslan on Sept.",0
U2 pitches for Apple New iTunes ads airing during baseball games Tuesday will feature the advertising-shy Irish rockers.,3
S African TV in beheading blunder Public broadcaster SABC apologises after news bulletin shows footage of American beheaded in Iraq.,0
"A Cosmic Storm: When Galaxy Clusters Collide Astronomers have found what they are calling the perfect cosmic storm, a galaxy cluster pile-up so powerful its energy output is second only to the Big Bang.",3
West sets deadline for Iran to freeze uranium enrichment Four western countries set the scene yesterday for a showdown with Iran by demanding that it freeze its uranium enrichment activities immediately.,0
"Computer Assoc. Cuts 800 Jobs Worldwide (AP) AP - Computer Associates International Inc. announced a restructuring plan Wednesday that would reduce its work force by 800 people worldwide, saving the business software maker  #36;70 million annually once the plan is fully implemented.",3
"CA Opens Utility Pricing for Mainframes Keeping its promise to migrate toward more flexible pricing for its software, Computer Associates (Quote, Chart) has unleashed Measured Workload Pricing for its mainframe management products.",3
"Economy builds steam in KC Fed district The economy continued to strengthen in September and early October in the Great Plains and Rocky Mountain regions covered by the Tenth Federal Reserve District, the Federal Reserve Bank of Kansas City said Wednesday.",2
"Mutombo says he #39;s being traded to Rockets; will back up, mentor &lt;b&gt;...&lt;/b&gt; Dikembe Mutombo, 38, has agreed to a sign-and-trade deal that will send him from the Chicago Bulls to Houston in exchange for Eric Piatkowski, Adrian Griffin and Mike Wilks, the Houston Chronicle reports.",1
"RBC Centura CEO steps down RALEIGH, NC - The head of RBC Centura Bank has stepped down, and his successor will run the bank out of Raleigh rather than Rocky Mount, where the bank is based.",2
Plans put on hold for pro SCO website Infoworld reports that SCO #39;s briefly planned foray into Groklaw territory announced last month has been put on the back burner.,3
"Paris Marks Liberation Mindful of Collaboration With solemn commemorations, a ceremonial flag-raising at the Eiffel Tower and columns of 1940s-era tanks and army jeeps, Parisians on Wednesday marked the 60th anniversary ",0
"Oracle acquisition of PeopleSoft leads flurry of deals NEW YORK (CBS.MW) -- US stocks closed higher Monday, with the Dow Jones Industrial Average ending at its best level in more than nine months amid better-than-expected economic data and merger-related optimism.",2
They #146;re in the wrong ATHENS -- Matt Emmons was focusing on staying calm. He should have been focusing on the right target.,1
Mularkey Sticking With Bledsoe As Bills QB (AP) AP - Mike Mularkey has a message to those clamoring for rookie quarterback J.P. Losman to replace Drew Bledsoe as Buffalo's starter. Not yet.,1
"Greek membership of eurozone not in doubt BRUSSELS - Greece #39;s membership of the eurozone is not in doubt despite a damaging review of its budget data stretching back five years, a European Commission official said Monday.",2
"Some fear it's a passport to identity theft It's December 2005 and you're all set for Christmas in Vienna. You have your most fashionable cold-weather gear, right down to the red maple leaves embroidered on your jacket and backpack, to conceal your American citizenship from hostile denizens of Europe.",2
"U.S. Plans Crackdown on Piracy, Counterfeiting  WASHINGTON (Reuters) - The United States is cracking down  on the growing trade in counterfeit and pirated goods that  costs U.S. businesses hundreds of billions of dollar annually,  U.S. government and industry officials said on Monday.",3
Cisco switch products target small business Company aggressively addresses smaller businesses with products that reduce the cost and complexity of operating a Cisco network.,3
"Icahn pushes harder to stop Mylan #39;s King acquisition PITTSBURGH Carl Icahn, the largest shareholder of Mylan Laboratories, is now threatening to push for new company directors to stop the generic drug maker #39;s four (B) billion-dollar takeover bid of King Pharmaceuticals.",2
"Quantum Snags LTO Rival Certance After preaching the superiority of its DLT tape format for years, Quantum has up and bought Certance, a key maker of the rival LTO format.",3
Black to Sue Hollinger Committee for C\$1.1 Bln Fallen press baron Conrad Black will sue Hollinger International Inc. #39;s special committee and others for C\$1.1 billion (\$870 million) over a report that accused him of looting the company of millions of dollars.,2
Milosevic trial suspended The trial of Slobodan Milosevic has been suspended in Hague to allow the defense lawyers assigned to the former Yugoslav president more time to prepare their case.,0
"Tremor shakes Athens, no damage ATHENS - An earthquake rattled Athens on Tuesday, including the Olympic venues in the Greek capital. The Athens Geodynamic Institute said that there was a tremor, but few other details were known, such as the magnitude or epicentre of the quake.",1
"Bush Web Site Bars Overseas Visitors (washingtonpost.com) washingtonpost.com - The Bush-Cheney reelection campaign has barred people outside the United States from viewing its Web site following an electronic attack that took down the campaign's Internet address for six hours last week, according\\to computer security experts.",3
Merger could affect Nextel Partners The proposed \$35 billion merger of Sprint Corp. and Nextel Communications could mean changes for Kirkland-based Nextel Partners Inc.,2
"TEXANS STAT CENTER After finally winning consecutive games, the Texans are a team in search of a challenge.  quot;I knew that was going to come up, quot; Texans coach Dom Capers said with a laugh.",1
About-face for Heels Rashad McCants wasn #39;t thinking about last year at Kentucky. Jawad Williams said last year was last year. And Sean May was thinking more about his last game than North Carolina #39;s Jan. 3 defeat at Rupp Arena.,1
Web site pictures Photo iPod for holidays A Mac news site says iPods that display digital photos may be under Christmas trees this year.,3
"Shanahan says he intends to honour his deal with Broncos Trying to defuse rumours he might be leaving soon, Denver Broncos coach Mike Shanahan said Thursday night he intends to honour the final four years of his contract.",1
"Iran Says U.S. Lacks Options on Its Atomic Program (Reuters) Reuters - Washington has hit a dead-end over\Iran's nuclear dossier, lacking enough proof to demand U.N.\sanctions and too bogged down in Iraq for a military strike,\President Mohammad Khatami said Saturday.",0
Expectations Low for Georgia Basketball (AP) AP - Georgia is likely to have a dismal season on the basketball court.,1
"Company: Ameritrade Hldg Corp New With presidential election-related uncertainty safely in the past, retail investors have returned to the US stock market with gusto, and they #39;re likely to stay engaged, several trading companies said Friday.",2
"For Arafat, Oslo Remained Symbol of Hope (AP) AP - Norway's capital could not have been further removed from the chaos and bloodshed of the Middle East. Yet it was as a result of top-secret meetings here that two veteran warriors decided it was time to talk peace.",0
"A Daily Look at U.S. Iraq Military Deaths (AP) AP - As of Tuesday, Nov. 23, 2004, at least 1,229 members of the U.S. military have died since the beginning of the Iraq war in March 2003, according to an Associated Press count. At least 957 died as a result of hostile action, the Defense Department said. The figures include three military civilians.",0
