text,label,text_kz,label_name,pred_native_basic,pred_en_kz
"Fan v Fan: Manchester City-Tottenham Hotspur This weekend Manchester City entertain Spurs, and with last seasons seven-goal FA Cup epic between the two teams still fresh in the memory, entertain could be the operative word.",1,"Фан қарсы Фан: Манчестер Сити-Тоттенхэм Хотспур Осы демалыс күндері Манчестер Сити Тоттенхэмді қабылдайды, және өткен маусымдағы екі команда арасындағы жеті голдық ФА Кубогының эпикалық ойыны әлі де есте сақталғандықтан, ""қабылдайды"" сөзі дәл келетін сөз болуы мүмкін.",Sports,Sports,Sports
"Paris Tourists Search for Key to 'Da Vinci Code' (Reuters) Reuters - A funny thing happened on the way to the\Mona Lisa. Visitors to the Louvre museum in Paris, home of the\world's most famous painting, started quizzing tour guides\about Dan Brown's best-selling novel ""The Da Vinci Code.""",0,"Париж туристері 'Да Винчи кодының' кілтін іздеуде (Reuters) Reuters - Мона Лизаға барар жолда қызықты жағдай орын алды. Әлемдегі ең атақты сурет орналасқан Париждегі Лувр мұражайына келген қонақтар, Дэн Браунның ең көп сатылған ""Да Винчи коды"" романы туралы экскурсия жетекшілерінен сұрай бастады.",World,World,World
"Net firms: Don't tax VoIP The Spanish-American War is over and a ""temporary"" tax created to pay for it should not be extended to Internet phone calls, industry groups tell the IRS",3,"Интернет компаниялары: VoIP-ке салық салмаңыз Испан-Американ соғысы аяқталды және оны төлеу үшін құрылған ""уақытша"" салық интернет арқылы телефон қоңырауларына қолданылмауы керек, деп салалық топтар IRS-ке мәлімдейді.",Sci/Tech,Business,Business
"Dependent species risk extinction The global extinction crisis is worse than thought, because thousands of  quot;affiliated quot; species also at risk do not figure in calculations.",3,"Тәуелді түрлер жойылу қаупінде Жаһандық жойылу дағдарысы ойлағаннан да нашар, себебі мыңдаған «байланысты» түрлер де қауіп-қатерде, бірақ олар есептеулерге кірмейді.",Sci/Tech,Sci/Tech,Sci/Tech
EDS Is Charter Member of Siebel BPO Alliance (NewsFactor) NewsFactor - Siebel Systems (Nasdaq: SEBL) has named EDS as the charter partner in Siebels' new business process outsourcing (BPO) global strategic-alliance program. The agreement expands the relationship between EDS and Siebel to provide a set of high-value managed products and service offerings targeted at the BPO and customer relationship management (CRM) marketplaces.,3,"EDS Siebel BPO Альянсының Хартия Мүшесі (NewsFactor) NewsFactor - Siebel Systems (Nasdaq: SEBL) EDS-ті Siebel-дің жаңа бизнес-процестерді аутсорсингтеу (BPO) бойынша жаһандық стратегиялық альянс бағдарламасының хартия серіктесі ретінде атады. Келісім EDS пен Siebel арасындағы қарым-қатынасты кеңейтіп, BPO және тұтынушылармен қарым-қатынасты басқару (CRM) нарықтарына бағытталған жоғары құнды басқарылатын өнімдер мен қызмет ұсыныстарын ұсынуды көздейді.",Sci/Tech,Business,Business
"Campbell 9 Pct. Profit  #39;Hmmm Hmmm Good #39; Campbell Soup Co. (CPB.N: Quote, Profile, Research) on Monday posted a better-than-expected 9 percent rise in profit, sending shares to a near three-year high, as heavy promotions and product improvements spurred soup sales.",2,"Кэмпбелл 9% пайда #39;Хммм Хммм Жақсы #39; Campbell Soup Co. (CPB.N: Quote, Profile, Research) дүйсенбі күні күткеннен жоғары 9 пайыздық пайда өсімін жариялады, акцияларды үш жылдық ең жоғары деңгейге жеткізді, себебі қарқынды жарнамалар мен өнімді жақсартулар сорпа сатылымдарын ынталандырды.",Business,Business,Business
"Forgoing stiff upper lip, Charles jousts with critics LONDON: In an unusual departure from the tradition of regal silence and the stiff upper lip, Prince Charles fought back Monday against accusations by a government minister who called his views on education  quot;old fashioned quot; and  quot;out of time.",0,"Қатаң ұстамдылықтан бас тартып, Чарльз сыншылармен айқасқа түсті ЛОНДОН: Патшалық үнсіздік пен қатаң ұстамдылық дәстүрінен ерекше ауытқып, дүйсенбі күні ханзада Чарльз оның білім беру туралы көзқарастарын «ескірген» және «уақыттан тыс» деп атаған үкімет министрінің айыптауларына қарсы шықты.",World,World,World
"Profit Plunges at International Game Tech International Game Technology, the world #39;s biggest maker of slot machines, Tuesday said said profit for its latest quarter fell 50 percent from a year ago due to a charge for early redemption of debt and a tax adjustment.",2,"Халықаралық ойын технологиясындағы пайда төмендеді Халықаралық ойын технологиясы, әлемдегі ең ірі ойын автоматтарын өндіруші, сейсенбі күні соңғы тоқсандағы пайда өткен жылмен салыстырғанда 50 пайызға төмендегенін хабарлады. Бұл қарызды мерзімінен бұрын өтеу үшін алынған шығындар мен салық түзетулеріне байланысты болды.",Business,Business,Business
"Salvaging Genesis Despite a seemingly calamitous crash to Earth last month by the Genesis spacecraft, large portions of the solar wind samples it had gathered in space appear to be salvageable, NASA scientists announced on Sept.",3,"Генезисті құтқару Өткен айда Genesis ғарыш аппаратының Жерге апатты құлағанына қарамастан, оның ғарышта жинаған күн желінің үлгілерінің үлкен бөліктері құтқаруға жарамды болып көрінеді, деп NASA ғалымдары қыркүйек айында хабарлады.",Sci/Tech,Sci/Tech,Sci/Tech
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,2,Чавес CD-ны қабылдамайды Венесуэла президенті Уго Чавес оппозициялық коалиция ретінде Демократиялық Координацияны немесе CD-ны енді мойындамайтынын мәлімдеді.,Business,World,World
