text,label,text_kz,pred_translate_en,label_name
NCAA Notifies Baylor Baylor received its notice of allegations Thursday from the NCAA about infractions in its men's basketball program discovered after the death of player Patrick Dennehy.,1,NCAA Бэйлорға хабарлама жіберді Бейлор бейсенбі күні NCAA-дан Патрик Деннидің өлімінен кейін ерлер баскетбол бағдарламасында анықталған бұзушылықтар туралы айыптау хабарламасын алды.,Sports,Sports
"Kiwi firms ditch Explorer for Firefox Aoraki Mt Cook Ski Planes and New Zealand Tourism Online are turning their backs on Microsoft #39;s Internet Explorer. Both companies are among the early adopters of Firefox, a free  quot;open source quot; Web browser.",3,"Жаңа Зеландиядағы Kiwi компаниялары Explorer-ден Firefox-қа ауысты Aoraki Mt Cook Ski Planes және New Zealand Tourism Online Microsoft-тың Internet Explorer-інен бас тартып жатыр. Екі компания да тегін ""ашық кодты"" Firefox веб-шолғышын ерте қабылдаушылардың қатарында.",Sci/Tech,Sci/Tech
"On average, quarter was a loser (USATODAY.com) USATODAY.com - In the great race between stock mutual funds and the mattress, the mattress won.",2,"Орташа алғанда, тоқсан жеңіліске ұшырады (USATODAY.com) USATODAY.com - Акциялардың өзара қорлары мен матрас арасындағы үлкен жарыста матрас жеңіске жетті.",Business,Business
"Pac-10 Teams Seek to Revive Reputation (AP) AP - As it looks ahead to another basketball season, the Pac-10 can take some comfort in one thing: There's a lot of room for improvement after a miserable 2003-04. And with traditional power Arizona leading the way, the conference should indeed be much better.",1,"Pac-10 командалары беделін қалпына келтіруге ұмтылады (AP) AP - Баскетбол маусымының тағы бір кезеңіне көз тіккенде, Pac-10 бір нәрседен жұбаныш таба алады: 2003-04 жылғы қиын кезеңнен кейін жақсартуға көп мүмкіндік бар. Және дәстүрлі күшті Аризона алда келе жатқандықтан, конференция шынымен де әлдеқайда жақсы болуы керек.",Sports,Sports
"Four held in anti-terror raids Three of the men were seized in a  quot;pre-planned quot; operation by officers from the Metropolitan Police anti-terrorist branch at a hotel in Brent Cross, north London.",0,"Төрт адамға қарсы терроризмге қарсы рейдтер жүргізілді. Үш ер адам Лондонның солтүстігіндегі Брент Кросс қонақүйінде Метрополитен полициясының терроризмге қарсы бөлімшесінің қызметкерлері жүргізген ""алдын ала жоспарланған"" операция барысында ұсталды.",World,World
"Dalai Lama Envoy Visits China for Autonomy Talks  WASHINGTON (Reuters) - The Dalai Lama's special envoy has  arrived in China for talks on the exiled spiritual leader's  aspirations for Tibetan autonomy, the third such visit in three  years, officials in Washington said on Tuesday.",0,"Далай Ламаның өкілі Қытайға автономия туралы келіссөздер үшін барды

ВАШИНГТОН (Рейтер) - Далай Ламаның арнайы өкілі Тибет автономиясына қатысты қуғында жүрген рухани көшбасшының ұмтылыстары туралы келіссөздер жүргізу үшін Қытайға келді, бұл үш жыл ішіндегі үшінші осындай сапар, деп хабарлады Вашингтондағы шенеуніктер сейсенбі күні.",World,World
"Report: IBM software executive to become CA CEO Computer Associates is set to name a recently departed IBM executive as its new chief executive officer, The Wall Street Journal reported online on Monday.",3,"Есеп: IBM бағдарламалық қамтамасыз ету жөніндегі атқарушы директоры CA бас директоры болады Computer Associates жақында IBM-нен кеткен атқарушы директорды өзінің жаңа бас директоры ретінде тағайындауға дайындалып жатыр, деп дүйсенбі күні The Wall Street Journal онлайн хабарлады.",Business,Sci/Tech
FA Plan New United-Arsenal Talks The Football Association are set to wait until after the conclusion of any disciplinary action against Arsene Wenger before trying to broker a peace summit between Arsenal and Manchester United.,1,"Футбол қауымдастығы жаңа ""Юнайтед""-""Арсенал"" келіссөздерін жоспарлауда Футбол қауымдастығы Арсен Венгерге қарсы кез келген тәртіптік шаралар аяқталғаннан кейін ғана ""Арсенал"" мен ""Манчестер Юнайтед"" арасында бейбітшілік саммитін ұйымдастыруға тырысады.",Sports,Sports
Hezbollah plane flies over Israel Lebanon #39;s guerrilla organization Hezbollah announced Sunday it hd flown an unmanned reconnaissance plane over northern Israel for the first time.,0,"""Хезболла"" ұшқышсыз ұшағы Израильдің үстінен ұшты Ливанның партизандық ұйымы ""Хезболла"" жексенбі күні алғаш рет Израильдің солтүстігіне ұшқышсыз барлау ұшағын ұшырғанын хабарлады.",World,World
"Order for Saudi tankers goes to Hyundai Heavy DUBAI Hyundai Heavy Industries, the world #39;s largest shipbuilder, has won a Saudi order for two large oil tankers as OPEC pumps near capacity, lifting supertanker prices.",2,"Саудиялық танкерлерге тапсырыс Hyundai Heavy-ге берілді

ДУБАЙ Hyundai Heavy Industries, әлемдегі ең ірі кеме жасаушы компания, ОПЕК өндірісті толық қуатта жүргізіп жатқандықтан және супертанкерлердің бағасы көтеріліп жатқандықтан, Саудиядан екі үлкен мұнай танкеріне тапсырыс алды.",Business,Business
Chavez rejects CD as opposition Venezuela #39;s President Hugo Chavez has announced that he will no longer recognize the Democratic Coordination or CD as the opposition coalition.,2,Чавес CD-ны қабылдамайды Венесуэла президенті Уго Чавес оппозициялық коалиция ретінде Демократиялық Координацияны немесе CD-ны енді мойындамайтынын мәлімдеді.,World,Business
"Jaguars 27 Colts 24 INDIANAPOLIS Byron Leftwich was flawless on a 30-yard drive in the final four minutes, and rookie kicker Josh Scobee made a season-long 53-yard field goal to help the Jacksonville Jaguars pull off a 27-to-24 win over Indianapolis.",1,"Ягуарлар 27 Кольттар 24 ИНДИАНАПОЛИС Байрон Лефтвич соңғы төрт минутта 30 ярдтық шабуылда мінсіз ойнап, жаңа ойыншы тебуші Джош Скоби маусымдағы ең ұзақ 53 ярдтық алаң голын соғып, Джексонвилл Ягуарларының Индианаполиске қарсы 27-ден 24-ке дейінгі жеңісіне көмектесті.",Sports,Sports
"'Frankenfish' Caught in Great Lakes (Reuters) Reuters - The dreaded Northern Snakehead, a\voracious predator dubbed the ""Frankenfish"" that can breathe\out of water and wriggle across land, has invaded the Great\Lakes, authorities said on Friday.",3,"'Франкенбалық' Ұлы көлдерде ұсталды (Reuters) Reuters - Жұма күні билік өкілдері хабарлағандай, ""Франкенбалық"" деп аталған, судан тыс тыныс ала алатын және құрлықта қозғала алатын жыртқыш Солтүстік жыланбалық Ұлы көлдерге басып кірді.",Sci/Tech,Sci/Tech
"Red Sox Spread Good Feeling Across Nation (AP) AP - It was a pinch-me morning. Did the Boston Red Sox really win the World Series or was it all a sweet dream? Opened the shades, let in the sunlight, blinked at red, gold and orange leaves shimmering against a clear blue sky. It seemed too perfect, too real.",1,"Ред Сокс бүкіл елге жақсы көңіл-күй таратты (AP) AP - Бұл таңғажайып таң болды. Бостон Ред Сокс шынымен Әлемдік серияны жеңіп алды ма, әлде бұл тек тәтті түс пе еді? Перделерді ашып, күн сәулесін кіргізіп, ашық көк аспанға қарсы жарқыраған қызыл, алтын және қызғылт сары жапырақтарға көз жүгірттік. Бұл тым мінсіз, тым шынайы болып көрінді.",Sports,Sports
"Judge Orders Halt to YUKOS Unit Auction (Reuters) Reuters - A U.S. bankruptcy court on Thursday\stepped into the battle between YUKOS and the Russian\government, issuing an order to block Sunday's auction of the\company's main oil-producing arm for 10 days.",2,"Судья YUKOS бөлімшесінің аукционын тоқтатуға бұйрық берді (Reuters) Reuters - Бейсенбі күні АҚШ-тың банкроттық жөніндегі соты YUKOS пен Ресей үкіметі арасындағы күреске араласып, компанияның негізгі мұнай өндіруші бөлімшесінің жексенбі күнгі аукционын 10 күнге тоқтату туралы бұйрық шығарды.",Business,Business
"Unions protest as overtime rules take effect WASHINGTON -- Hundreds of workers rallied on the steps of the Labor Department yesterday to protest the implementation of new rules they say will cause as many as 6 million Americans to lose their overtime pay. But the Bush administration officials who crafted the complex regulations insisted more workers will actually qualify for extra pay under the plan, which almost ...",2,"Кәсіподақтар қосымша жұмыс уақыты ережелерінің күшіне енуіне қарсы наразылық білдіруде

ВАШИНГТОН -- Кеше жүздеген жұмысшылар Еңбек департаментінің баспалдақтарында жаңа ережелердің енгізілуіне қарсы наразылық білдірді, олар бұл ережелер 6 миллионға жуық америкалықтардың қосымша жұмыс уақыты үшін төлемдерін жоғалтуына әкеледі деп санайды. Бірақ бұл күрделі ережелерді жасаған Буш әкімшілігінің өкілдері бұл жоспар бойынша шын мәнінде көбірек жұмысшылар қосымша төлем алуға құқылы болады деп сендірді, бұл дерлік ...",Business,Business
"UPDATE 2-Computershare buys US EquiServe, shares surge Australia #39;s Computershare Ltd. (CPU.AX: Quote, Profile, Research) has agreed to buy the second-largest US share registrar, EquiServe, for \$292 million, quadrupling ",2,"Австралияның Computershare Ltd. (CPU.AX: Quote, Profile, Research) компаниясы АҚШ-тың екінші ірі акция тіркеушісі EquiServe-ті 292 миллион долларға сатып алуға келісті, бұл жаңалықтан кейін акцияларының бағасы күрт өсті.",Business,Business
"Tributes flood in for Nicholson Former Tottenham captain Dave Mackay has led the tributes to legendary former Spurs manager Bill Nicholson, who passed away on Saturday aged 85.",1,"Николсонға құрмет көрсетілуде Бұрынғы ""Тоттенхэм"" капитаны Дэйв Маккей сенбі күні 85 жасында қайтыс болған ""Тоттенхэм"" клубының аңызға айналған бұрынғы менеджері Билл Николсонға құрмет көрсетуді бастады.",Sports,Sports
"Howard Wins Big The Bison win their second straight game with a 53-7 domination of nonconference Savannah State before 5,205 at Greene Stadium.",1,"Говард үлкен жеңіске жетті Бизондар Грин стадионында 5,205 көрерменнің алдында конференциядан тыс Савана Стейтті 53-7 есебімен жеңіп, қатарынан екінші ойында жеңіске жетті.",Sports,Sports
Clubbing Wet Seal A same-stores sales drop that's less crummy than expected can't fix this sick pup.,2,"""Clubbing Wet Seal"" дүкендер желісінің сатылымы күтілгеннен аз төмендегенімен, бұл жағдайды түзете алмайды.",Business,Business
"A First Look At PalmOne #39;s T5 NEW YORK - If PalmOne #39;s Tungsten T5 handheld was an automobile, it would be described as being a facelift rather than a complete overhaul of the model that preceded it, the Tungsten T3.",3,"PalmOne #39;s T5-ке алғашқы көзқарас

НЬЮ-ЙОРК - Егер PalmOne #39;s Tungsten T5 қол құрылғысы автомобиль болғанда, оны алдыңғы моделі Tungsten T3-ке қарағанда толық жаңарту емес, тек сыртқы түрін жаңарту деп сипаттауға болар еді.",Sci/Tech,Sci/Tech
Microsoft: Use Script to Block Windows XP SP2 Updates Microsoft has offered up yet another way for businesses to block the automatic update of Windows XP to the big-deal Service Pack 2 (SP2) upgrade.,3,Microsoft: Windows XP SP2 жаңартуларын блоктау үшін скриптті пайдаланыңыз Microsoft компаниясы бизнеске Windows XP-ді маңызды Service Pack 2 (SP2) жаңартуына автоматты түрде жаңартуды блоктаудың тағы бір жолын ұсынды.,Sci/Tech,Sci/Tech
Radeon X850 Released VisionTek announced today the official launch of its XTASY RADEON X850 XT PCI Express Graphics Accelerator card.  quot;We #39;ve been overwhelmed by customer requests for a top of the line VisionTek 16X PCI Express ,3,"VisionTek бүгін өзінің XTASY RADEON X850 XT PCI Express Graphics Accelerator картасының ресми шығарылғанын жариялады. ""Біз VisionTek 16X PCI Express жоғары деңгейлі өнімге деген тұтынушылардың сұранысына таң қалдық.",Sci/Tech,Sci/Tech
"Quattrone gets 18 months in prison Frank Quattrone, who rose to investment banking stardom during the dot.com boom, was sentenced to 18 months in a federal prison camp in Lompoc, Calif.",2,Куаттроне 18 айға түрмеге қамалды Дотком дәуірінде инвестициялық банкинг жұлдызына айналған Фрэнк Куаттроне Калифорния штатының Ломпок қаласындағы федералды түрме лагерінде 18 айға бас бостандығынан айырылды.,Business,Business
