text,label
Sterling Piano Company. The Sterling Piano Company was a piano manufacturer in Derby Connecticut. The company was founded in 1873 by Charles A. Sterling as the Sterling Organ Company. Sterling had purchased the Birmingham Organ Company in 1871 and had $30000 to fund the company. The Sterling Organ Company began making pianos in 1885.,0
NYC S-Motor. S-Motor was the class designation given by the New York Central to its ALCO-GE built S-1 S-2 S-2a and S-3 electric locomotives. The S-Motors hold the distinction of being the world's first mass-produced main line electric locomotives with the prototype #6000 being constructed in 1904. The S-Motors would serve alone until the more powerful T-motors began to arrive in 1913 eventually displacing them from main line passenger duties.,5
Axel Zwingenberger. Axel Zwingenberger (born May 7 1955 Hamburg Germany) is a blues and boogie-woogie pianist and songwriter. He is considered one of the finest boogie-woogie music masters in the world.,2
Sceptrophasma hispidulum. Sceptrophasma hispidulum commonly known as the Andaman islands Stick Insect is a species of the stick insect family. It originates from the Andaman Islands and is commonly found in tropical forests there. They eat a variety of foliage though in captivity they commonly eat blackberry bramble hawthorn oak rose and lettuce. The species has the Phasmid Study Group number PSG183.,9
Nucet River (Chiojdeanca). The Nucet River is a tributary of the Chiojdeanca River in Romania.,7
Kardia Mou Min Anisiheis. Kardia Mou Min Anisiheis (Greek: Καρδιά Μου Μην Ανησυχείς English: Do not worry my heart) is an album by Antonis Remos. It was released in May 2002 and was the second best selling album of the year selling more than 120000 copies and was certified 3x Platinum. In Cyprus the album sold more than 12000 copies and was certified 2x Platinum.,11
Costas Evangelatos. Costas Evangelatos is a Greek artist and poet born in Argostoli in 1957 but he is originated by his father side from Lixouri Kefalonia. He studied law at Athens University painting and aesthetic theory of modern art in Manhattan (New York City). From 1986 until 1993 he was the artistic director of the DADA Gallery in Athens and in 1990 founded the art group ART STUDIO EST.Along with painting has worked internationally in the fields of Performance Body Art Happening and Mail art.,2
Ted Davis (American football). Richard Kenneth Davis (born July 27 1942 in Memphis Tennessee) is a former American football player in the National Football League. He played for the Baltimore Colts the New Orleans Saints and the Miami Dolphins. He played collegiately for the Georgia Tech football team. He was inducted into the Georgia Tech Hall of Fame in 1980.,3
Evanildo Borges Barbosa Júnior. Evanildo Borges Barbosa Júnior known as Juninho (born January 11 1990 in Salvador Bahia) is a left back who plays for Série A club Palmeiras.,3
Shaw Historic District. Shaw Historic District also known as Francis B. Shaw Block Historic District is a national historic district located in Doylestown Bucks County Pennsylvania. The district includes seven contributing buildings in a residential and industrial area of Doylestown. The block was developed between 1833 and 1914 and includes the Bryan House (c. 1833) Clemens Double House (pre-1874) Goodman House (c. 1835) Kulp House (c.,6
River Len. The River Len is a river in Kent England. It rises at a spring in Affer's Wood to the south-east of the village centre of Lenham 0.6 miles (0.97 km) from the source of the River Great Stour; both rise on the Greensand Ridge. Its length is c10 miles (16 km). It enters the River Medway at Maidstone.The river flows in a generally westerly direction.,7
Leakey (crater). Leakey is a small undistinguished lunar impact crater that is located in an area of rough terrain in the eastern part of the Moon. The immediate area is not notable for crater features although some distance to the southwest is the crater pair of Capella and Isidorus. In the surface between this pair and Leakey is a system of rilles designated the Rimae Gutenberg that follow a course to the southeast.Leakey is a circular bowl-shaped formation that is symmetrical and not significantly eroded.,7
Seniman Bujang Lapok. Seniman Bujang Lapok (The Three Worn Out Actor Bachelors) is a 1961 Malay comedy film directed by P. Ramlee. It is the fourth installment in the Bujang Lapok series of films but the last to feature P. Ramlee S. Shamsudin and Aziz Sattar as the main trio of actors. However it is not a direct sequel to the previous Bujang Lapok films as there are no references to the events of the previous films.The film is a self-referential spoof of the Malay film industry of the late 1950s/early 1960s.,12
Ernest Goes to Jail. Ernest Goes to Jail is a 1990 Touchstone Pictures comedy film directed by John R. Cherry III and starring Jim Varney. It is the fourth film to feature the character Ernest P. Worrell. It was shot in Nashville and Tennessee State Penitentiary. This is the second most successful of the Ernest films behind Ernest Saves Christmas. It was in third place during its opening weekend earning $6143372. Total gross was $25029569.,12
